-5426980.1105671292	-13000	4	23	21	20	47
-5061841.8258217592	-12000	1	10	4	10	49
-4696498.4031250002	-11000	4	20	14	19	30
-4331359.5322685186	-10000	1	7	11	13	32
-3966016.2216203702	-9000	4	17	18	40	52
-3600877.0136921294	-8000	1	4	23	40	17
-3235533.6454513888	-7000	4	15	8	30	33
-2870394.3897916665	-6000	1	2	14	38	42
-2505050.8091666666	-5000	4	13	4	34	48
-2139735.5881249998	-4000	6	24	9	53	6
-1774567.8226851851	-3000	4	11	4	15	20
-1409252.5781944445	-2000	6	22	10	7	24
-1044084.7502199074	-1000	4	9	5	59	41
-678769.4264351851	0	6	20	13	45	56
-313601.6100000000	1000	4	7	9	21	36
51579.5350000000	2000	2	5	12	50	24
416902.5957407408	3000	4	26	14	17	52
782077.7015393518	4000	2	18	16	50	13
1147400.8700231481	5000	5	9	20	52	50
1512576.0266087963	6000	3	3	0	38	19
1877899.2030208334	7000	5	23	4	52	21
2243074.4954050924	8000	3	16	11	53	23
2608249.6080671297	9000	1	8	14	35	37
2973573.0543287038	10000	3	30	1	18	14
3338748.4646990742	11000	1	22	11	9	10
3704101.0388541669	12000	5	12	0	55	57
4069247.3454629630	13000	2	5	8	17	28
4434599.5377083337	14000	5	25	12	54	18
4799775.4475578703	15000	3	20	10	44	29
5164951.3978240741	16000	1	13	9	32	52
