Year	Month	Day	Hour	Minute	Second	Catalog	Saros	Type	Gamma
-13000	4	23	21	20	47	-185524	-324	A	0.1237
-13000	10	18	23	12	40	-185518	-319	T	0.7340
-12999	4	13	01	31	30	-185512	-314	A	-0.6212
-12999	9	8	18	50	09	-185507	-347	P	-1.3961
-12999	10	8	10	21	18	-185506	-309	P	1.5043
-12998	3	4	05	31	29	-185501	-342	P	1.2223
-12998	4	2	13	07	02	-185500	-304	P	-1.3204
-12998	8	28	19	08	00	-185495	-337	A	-0.7483
-12997	2	21	22	50	00	-185489	-332	T	0.4873
-12997	8	17	18	47	13	-185483	-327	A	-0.0628
-12996	2	11	14	01	34	-185477	-322	T	-0.2766
-12996	8	6	00	37	03	-185471	-317	A	0.6231
-12995	1	30	23	00	29	-185465	-312	P	-1.0997
-12995	6	27	02	21	42	-185460	-345	P	-1.4332
-12995	7	26	13	13	43	-185459	-307	P	1.2545
-12995	12	21	10	26	25	-185454	-340	A	0.9480
-12994	6	16	17	47	47	-185448	-335	T	-0.7942
-12994	12	10	13	37	05	-185442	-330	A	0.1622
-12993	6	6	05	11	14	-185436	-325	A	-0.1058
-12993	11	29	23	49	03	-185430	-320	T	-0.5975
-12992	5	25	09	29	09	-185424	-315	A	0.6293
-12992	10	20	06	59	00	-185419	-348	P	1.2882
-12992	11	18	15	23	10	-185418	-310	P	-1.2886
-12991	5	14	09	09	18	-185412	-305	P	1.3380
-12991	10	9	21	50	11	-185407	-338	T	0.6272
-12990	4	3	23	19	09	-185401	-333	H	-0.7710
-12990	9	29	06	53	12	-185395	-328	A	-0.0844
-12989	3	24	12	44	19	-185389	-323	T	0.0072
-12989	9	18	08	35	19	-185383	-318	A	-0.8018
-12988	3	13	05	45	00	-185377	-313	T	0.7396
-12988	8	7	14	06	09	-185372	-346	P	1.5370
-12988	9	6	07	48	52	-185371	-308	P	-1.4618
-12987	2	1	12	49	31	-185366	-341	P	-1.0776
-12987	3	2	21	39	55	-185365	-303	P	1.5135
-12987	7	27	22	05	06	-185360	-336	A	0.7908
-12986	1	21	19	44	27	-185354	-331	A	-0.3252
-12986	7	17	12	00	43	-185348	-326	T	0.0981
-12985	1	10	20	53	47	-185342	-321	A	0.4477
-12985	7	7	03	34	49	-185336	-316	T	-0.5698
-12985	12	1	11	02	37	-185331	-349	P	-1.5449
-12985	12	30	23	05	43	-185330	-311	P	1.1905
-12984	5	27	01	54	40	-185325	-344	P	1.5507
-12984	6	25	16	04	28	-185324	-306	P	-1.2988
-12984	11	19	23	01	19	-185319	-339	T	-0.7453
-12983	5	16	04	26	28	-185313	-334	A	0.8897
-12983	11	9	15	13	52	-185307	-329	T	-0.0178
-12982	5	5	04	11	23	-185301	-324	A	0.1718
-12982	10	30	07	05	11	-185295	-319	T	0.7059
-12981	4	24	08	37	59	-185289	-314	A	-0.5671
-12981	9	20	02	38	20	-185284	-347	P	-1.4069
-12981	10	19	17	59	23	-185283	-309	P	1.4851
-12980	3	14	12	42	59	-185278	-342	P	1.2883
-12980	4	12	20	30	09	-185277	-304	P	-1.2624
-12980	9	8	02	47	36	-185272	-337	A	-0.7531
-12979	3	4	05	56	53	-185266	-332	T	0.5619
-12979	8	28	02	44	34	-185260	-327	A	-0.0610
-12978	2	21	20	46	50	-185254	-322	T	-0.1982
-12978	8	17	09	01	59	-185248	-317	A	0.6271
-12977	2	11	05	13	28	-185242	-312	P	-1.0172
-12977	7	8	10	58	35	-185237	-345	P	-1.4335
-12977	8	6	21	56	16	-185236	-307	P	1.2586
-12976	1	1	16	32	28	-185231	-340	P	1.0293
-12976	6	27	02	10	58	-185225	-335	T	-0.8018
-12976	12	20	20	14	58	-185219	-330	A	0.2328
-12975	6	16	13	04	41	-185213	-325	A	-0.1195
-12975	12	10	07	02	47	-185207	-320	T	-0.5362
-12974	6	5	16	48	55	-185201	-315	A	0.6058
-12974	10	31	14	58	36	-185196	-348	P	1.3202
-12974	11	29	22	58	31	-185195	-310	P	-1.2379
-12973	5	25	16	14	32	-185189	-305	P	1.3026
-12973	10	21	05	45	40	-185184	-338	T	0.6538
-12972	4	14	06	26	33	-185178	-333	H	-0.8246
-12972	10	9	14	30	36	-185172	-328	A	-0.0638
-12971	4	3	20	05	42	-185166	-323	T	-0.0533
-12971	9	28	16	02	06	-185160	-318	A	-0.7869
-12970	3	24	13	03	20	-185154	-313	T	0.6754
-12970	8	18	22	12	13	-185149	-346	P	1.5282
-12970	9	17	15	30	10	-185148	-308	P	-1.4520
-12969	2	12	19	25	47	-185143	-341	P	-1.1606
-12969	3	14	04	37	11	-185142	-303	P	1.4498
-12969	8	8	06	37	02	-185137	-336	A	0.7810
-12968	2	2	01	48	45	-185131	-331	A	-0.4150
-12968	7	27	20	44	00	-185125	-326	T	0.0918
-12967	1	21	02	49	40	-185119	-321	A	0.3577
-12967	7	17	12	11	31	-185113	-316	T	-0.5746
-12966	1	10	05	26	13	-185107	-311	P	1.1078
-12966	7	7	00	18	12	-185101	-306	P	-1.3027
-12966	12	1	06	27	08	-185096	-339	T	-0.7954
-12965	5	27	11	32	35	-185090	-334	A	0.9225
-12965	11	20	22	56	41	-185084	-329	T	-0.0630
-12964	5	15	11	12	19	-185078	-324	A	0.2117
-12964	11	9	14	46	52	-185072	-319	T	0.6698
-12963	5	4	15	55	46	-185066	-314	A	-0.5214
-12963	9	30	10	17	32	-185061	-347	P	-1.4239
-12963	10	30	01	26	49	-185060	-309	P	1.4586
-12962	3	25	20	01	03	-185055	-342	P	1.3491
-12962	4	24	04	02	25	-185054	-304	P	-1.2114
-12962	9	19	10	20	59	-185049	-337	A	-0.7627
-12961	3	15	13	07	56	-185043	-332	T	0.6325
-12961	9	8	10	37	57	-185037	-327	A	-0.0629
-12960	3	4	03	32	49	-185031	-322	T	-0.1218
-12960	8	27	17	24	45	-185025	-317	A	0.6288
-12959	2	21	11	26	32	-185019	-312	A	-0.9358
-12959	7	18	19	39	05	-185014	-345	P	-1.4311
-12959	8	17	06	37	03	-185013	-307	P	1.2614
-12958	1	11	22	35	26	-185008	-340	P	1.1128
-12958	7	8	10	39	53	-185002	-335	T	-0.8038
-12957	1	1	02	48	14	-184996	-330	A	0.3083
-12957	6	27	21	05	01	-184990	-325	A	-0.1265
-12957	12	21	14	09	25	-184984	-320	T	-0.4682
-12956	6	16	00	17	46	-184978	-315	A	0.5898
-12956	11	10	22	46	43	-184973	-348	P	1.3615
-12956	12	10	06	24	14	-184972	-310	P	-1.1793
-12955	6	4	23	31	49	-184966	-305	P	1.2761
-12955	10	31	13	30	16	-184961	-338	T	0.6886
-12954	4	25	13	43	46	-184955	-333	H	-0.8711
-12954	10	20	21	58	41	-184949	-328	A	-0.0364
-12953	4	15	03	34	18	-184943	-323	T	-0.1081
-12953	10	9	23	20	32	-184937	-318	A	-0.7649
-12952	4	3	20	26	00	-184931	-313	T	0.6150
-12952	8	29	06	17	33	-184926	-346	P	1.5210
-12952	9	27	23	05	31	-184925	-308	P	-1.4365
-12951	2	23	02	01	15	-184920	-341	P	-1.2431
-12951	3	24	11	37	58	-184919	-303	P	1.3892
-12951	8	18	15	08	21	-184914	-336	H	0.7726
-12950	2	12	07	53	14	-184908	-331	A	-0.5037
-12950	8	8	05	28	14	-184902	-326	T	0.0853
-12949	2	1	08	45	05	-184896	-321	A	0.2670
-12949	7	28	20	50	13	-184890	-316	T	-0.5814
-12948	1	21	11	45	45	-184884	-311	P	1.0228
-12948	7	17	08	34	58	-184878	-306	P	-1.3101
-12948	12	11	13	45	34	-184873	-339	T	-0.8524
-12947	6	6	18	49	23	-184867	-334	A	0.9461
-12947	12	1	06	31	06	-184861	-329	T	-0.1152
-12946	5	26	18	25	01	-184855	-324	A	0.2426
-12946	11	20	22	18	49	-184849	-319	T	0.6263
-12945	5	15	23	25	51	-184843	-314	A	-0.4847
-12945	10	11	17	45	40	-184838	-347	P	-1.4488
-12945	11	10	08	41	09	-184837	-309	P	1.4226
-12944	4	5	03	25	48	-184832	-342	P	1.4047
-12944	5	4	11	45	06	-184831	-304	P	-1.1685
-12944	9	29	17	45	55	-184826	-337	A	-0.7791
-12943	3	25	20	23	28	-184820	-332	T	0.6986
-12943	9	18	18	26	21	-184814	-327	A	-0.0697
-12942	3	15	10	21	22	-184808	-322	T	-0.0487
-12942	9	8	01	45	47	-184802	-317	A	0.6282
-12941	3	4	17	38	36	-184796	-312	A	-0.8541
-12941	7	30	04	23	08	-184791	-345	P	-1.4263
-12941	8	28	15	17	29	-184790	-307	P	1.2638
-12940	1	23	04	35	18	-184785	-340	P	1.1988
-12940	7	18	19	12	13	-184779	-335	H	-0.8028
-12939	1	11	09	19	09	-184773	-330	H	0.3870
-12939	7	8	05	09	53	-184767	-325	A	-0.1290
-12939	12	31	21	13	49	-184761	-320	T	-0.3970
-12938	6	27	07	52	14	-184755	-315	A	0.5789
-12938	11	22	06	27	44	-184750	-348	P	1.4086
-12938	12	21	13	45	41	-184749	-310	P	-1.1169
-12937	6	16	06	58	28	-184743	-305	P	1.2566
-12937	11	11	21	03	26	-184738	-338	T	0.7322
-12936	5	5	21	12	33	-184732	-333	H	-0.9093
-12936	10	31	05	13	34	-184726	-328	A	0.0008
-12935	4	25	11	13	06	-184720	-323	T	-0.1551
-12935	10	20	06	27	05	-184714	-318	A	-0.7333
-12934	4	15	03	57	16	-184708	-313	T	0.5622
-12934	9	9	14	19	14	-184703	-346	P	1.5177
-12934	10	9	06	32	52	-184702	-308	P	-1.4134
-12933	3	6	08	36	31	-184697	-341	P	-1.3242
-12933	4	4	18	42	54	-184696	-303	P	1.3328
-12933	8	29	23	38	30	-184691	-336	H	0.7662
-12932	2	23	13	55	49	-184685	-331	A	-0.5931
-12932	8	18	14	11	45	-184679	-326	T	0.0794
-12931	2	11	14	39	52	-184673	-321	A	0.1752
-12931	8	8	05	30	14	-184667	-316	T	-0.5901
-12930	1	31	18	05	34	-184661	-311	A	0.9366
-12930	7	28	16	53	53	-184655	-306	P	-1.3201
-12930	12	22	20	59	28	-184650	-339	T	-0.9138
-12929	6	18	02	14	30	-184644	-334	A	0.9626
-12929	12	12	13	57	12	-184638	-329	T	-0.1742
-12928	6	6	01	48	50	-184632	-324	A	0.2649
-12928	12	1	05	40	50	-184626	-319	T	0.5754
-12927	5	26	07	06	35	-184620	-314	A	-0.4561
-12927	10	22	01	02	53	-184615	-347	P	-1.4812
-12927	11	20	15	44	56	-184614	-309	P	1.3793
-12926	4	16	10	59	03	-184609	-342	P	1.4537
-12926	5	15	19	37	44	-184608	-304	P	-1.1332
-12926	10	11	01	02	47	-184603	-337	A	-0.8017
-12925	4	6	03	43	50	-184597	-332	T	0.7598
-12925	9	30	02	08	22	-184591	-327	A	-0.0825
-12924	3	25	17	13	21	-184585	-322	H	0.0201
-12924	9	18	09	59	56	-184579	-317	H	0.6214
-12923	3	14	23	54	47	-184573	-312	A	-0.7766
-12923	8	9	13	07	24	-184568	-345	P	-1.4216
-12923	9	7	23	53	02	-184567	-307	P	1.2623
-12922	2	2	10	35	38	-184562	-340	P	1.2846
-12922	3	4	00	58	45	-184561	-302	P	-1.5448
-12922	7	30	03	46	11	-184556	-335	H	-0.7998
-12921	1	22	15	49	15	-184550	-330	H	0.4674
-12921	7	19	13	19	05	-184544	-325	A	-0.1268
-12920	1	12	04	12	49	-184538	-320	T	-0.3207
-12920	7	7	15	34	34	-184532	-315	A	0.5749
-12920	12	2	13	58	25	-184527	-348	P	1.4636
-12920	12	31	21	00	06	-184526	-310	P	-1.0490
-12919	6	26	14	34	36	-184520	-305	P	1.2442
-12919	11	22	04	26	10	-184515	-338	T	0.7834
-12918	5	17	04	52	25	-184509	-333	A	-0.9392
-12918	11	11	12	18	11	-184503	-328	A	0.0459
-12917	5	6	18	59	36	-184497	-323	T	-0.1959
-12917	10	31	13	24	35	-184491	-318	A	-0.6942
-12916	4	25	11	34	48	-184485	-313	T	0.5150
-12916	9	19	22	15	35	-184480	-346	P	1.5194
-12916	10	19	13	51	39	-184479	-308	P	-1.3825
-12915	3	16	15	14	50	-184474	-341	P	-1.4013
-12915	4	15	01	54	20	-184473	-303	P	1.2824
-12915	9	9	08	05	04	-184468	-336	T	0.7634
-12914	3	5	20	01	27	-184462	-331	A	-0.6788
-12914	8	29	22	52	35	-184456	-326	T	0.0759
-12913	2	22	20	38	40	-184450	-321	A	0.0864
-12913	8	19	14	08	23	-184444	-316	T	-0.5977
-12912	2	12	00	27	31	-184438	-311	A	0.8505
-12912	8	8	01	12	33	-184432	-306	P	-1.3308
-12911	1	2	04	08	41	-184427	-339	T	-0.9798
-12911	6	28	09	47	33	-184421	-334	A	0.9721
-12911	12	22	21	16	53	-184415	-329	T	-0.2387
-12910	6	17	09	23	55	-184409	-324	A	0.2787
-12910	12	12	12	52	42	-184403	-319	T	0.5170
-12909	6	6	14	58	37	-184397	-314	A	-0.4359
-12909	11	2	08	07	57	-184392	-347	P	-1.5224
-12909	12	1	22	36	14	-184391	-309	P	1.3267
-12908	4	26	18	40	38	-184386	-342	P	1.4960
-12908	5	26	03	40	39	-184385	-304	P	-1.1064
-12908	10	21	08	08	14	-184380	-337	A	-0.8336
-12907	4	16	11	11	14	-184374	-332	T	0.8144
-12907	10	10	09	43	32	-184368	-327	A	-0.1017
-12906	4	6	00	09	24	-184362	-322	H	0.0843
-12906	9	29	18	09	51	-184356	-317	H	0.6103
-12905	3	26	06	13	58	-184350	-312	A	-0.7020
-12905	8	20	21	51	18	-184345	-345	P	-1.4172
-12905	9	19	08	24	02	-184344	-307	P	1.2573
-12904	2	13	16	36	10	-184339	-340	P	1.3701
-12904	3	14	07	01	00	-184338	-302	P	-1.4618
-12904	8	9	12	20	43	-184333	-335	H	-0.7957
-12903	2	1	22	20	43	-184327	-330	H	0.5475
-12903	7	29	21	28	43	-184321	-325	A	-0.1232
-12902	1	22	11	12	37	-184315	-320	T	-0.2441
-12902	7	18	23	20	30	-184309	-315	A	0.5745
-12902	12	13	21	22	01	-184304	-348	P	1.5242
-12901	1	12	04	10	58	-184303	-310	T	-0.9779
-12901	7	7	22	18	03	-184297	-305	P	1.2369
-12901	12	3	11	38	14	-184292	-338	T	0.8424
-12900	5	27	12	43	27	-184286	-333	A	-0.9612
-12900	11	21	19	09	14	-184280	-328	A	0.1013
-12899	5	17	02	57	11	-184274	-323	T	-0.2279
-12899	11	10	20	10	45	-184268	-318	A	-0.6456
-12898	5	6	19	20	57	-184262	-313	T	0.4754
-12898	10	1	06	05	45	-184257	-346	P	1.5270
-12898	10	30	21	01	54	-184256	-308	P	-1.3436
-12897	3	27	21	56	40	-184251	-341	P	-1.4739
-12897	4	26	09	12	40	-184250	-303	P	1.2385
-12897	9	20	16	26	06	-184245	-336	T	0.7662
-12896	3	16	02	09	16	-184239	-331	A	-0.7620
-12896	9	9	07	29	37	-184233	-326	T	0.0757
-12895	3	5	02	41	02	-184227	-321	A	-0.0003
-12895	8	29	22	43	27	-184221	-316	T	-0.6032
-12894	2	22	06	53	24	-184215	-311	A	0.7660
-12894	8	19	09	30	29	-184209	-306	P	-1.3416
-12893	1	13	11	14	08	-184204	-339	P	-1.0495
-12893	2	11	18	22	34	-184203	-301	P	1.4754
-12893	7	9	17	27	16	-184198	-334	A	0.9761
-12892	1	3	04	30	17	-184192	-329	T	-0.3081
-12892	6	27	17	07	25	-184186	-324	A	0.2860
-12892	12	22	19	56	26	-184180	-319	T	0.4529
-12891	6	16	23	00	14	-184174	-314	A	-0.4228
-12891	12	12	05	19	01	-184168	-309	P	1.2682
-12890	6	6	11	51	43	-184162	-304	P	-1.0859
-12890	11	1	15	05	24	-184157	-337	A	-0.8721
-12889	4	27	18	45	55	-184151	-332	T	0.8623
-12889	10	21	17	09	34	-184145	-327	A	-0.1294
-12888	4	16	07	12	14	-184139	-322	A	0.1416
-12888	10	10	02	11	06	-184133	-317	H	0.5911
-12887	4	5	12	40	37	-184127	-312	A	-0.6342
-12887	8	31	06	31	07	-184122	-345	P	-1.4162
-12887	9	29	16	47	15	-184121	-307	P	1.2460
-12886	2	23	22	41	43	-184116	-340	P	1.4517
-12886	3	25	13	11	42	-184115	-302	P	-1.3846
-12886	8	20	20	53	51	-184110	-335	H	-0.7921
-12885	2	13	04	53	14	-184104	-330	H	0.6279
-12885	8	10	05	39	28	-184098	-325	A	-0.1177
-12884	2	2	18	10	23	-184092	-320	T	-0.1652
-12884	7	29	07	09	46	-184086	-315	A	0.5769
-12883	1	22	11	17	56	-184080	-310	T	-0.9036
-12883	7	18	06	08	33	-184074	-305	P	1.2346
-12883	12	13	18	41	21	-184069	-338	T	0.9080
-12882	6	7	20	43	54	-184063	-333	A	-0.9766
-12882	12	3	01	51	13	-184057	-328	A	0.1634
-12881	5	28	11	03	24	-184051	-323	T	-0.2531
-12881	11	22	02	46	42	-184045	-318	A	-0.5884
-12880	5	17	03	15	15	-184039	-313	T	0.4430
-12880	10	11	13	48	43	-184034	-346	P	1.5410
-12880	11	10	04	03	45	-184033	-308	P	-1.2969
-12879	4	7	04	44	13	-184028	-341	P	-1.5408
-12879	5	6	16	38	34	-184027	-303	P	1.2014
-12879	10	1	00	40	50	-184022	-336	T	0.7751
-12878	3	27	08	23	51	-184016	-331	A	-0.8389
-12878	9	20	16	01	04	-184010	-326	T	0.0806
-12877	3	16	08	49	06	-184004	-321	A	-0.0831
-12877	9	10	07	13	22	-183998	-316	T	-0.6050
-12876	3	4	13	24	50	-183992	-311	A	0.6844
-12876	8	29	17	42	45	-183986	-306	P	-1.3487
-12875	1	23	18	17	59	-183981	-339	P	-1.1209
-12875	2	22	01	19	00	-183980	-301	P	1.3975
-12875	7	20	01	11	52	-183975	-334	A	0.9758
-12874	1	13	11	39	23	-183969	-329	T	-0.3810
-12874	7	9	00	58	51	-183963	-324	A	0.2876
-12873	1	3	02	52	21	-183957	-319	T	0.3831
-12873	6	28	07	11	40	-183951	-314	A	-0.4170
-12873	12	23	11	49	40	-183945	-309	P	1.2006
-12872	6	16	20	12	53	-183939	-304	P	-1.0734
-12872	11	11	21	51	29	-183934	-337	A	-0.9199
-12871	5	8	02	28	37	-183928	-332	T	0.9029
-12871	11	1	00	28	10	-183922	-327	A	-0.1641
-12870	4	27	14	21	52	-183916	-322	A	0.1923
-12870	10	21	10	06	15	-183910	-317	T	0.5663
-12869	4	16	19	12	14	-183904	-312	A	-0.5711
-12869	9	11	15	07	49	-183899	-345	P	-1.4178
-12869	10	11	01	04	13	-183898	-307	P	1.2298
-12868	3	6	04	51	21	-183893	-340	P	1.5301
-12868	4	4	19	29	34	-183892	-302	P	-1.3126
-12868	8	31	05	22	42	-183887	-335	H	-0.7912
-12867	2	23	11	30	52	-183881	-330	H	0.7049
-12867	8	20	13	47	29	-183875	-325	A	-0.1136
-12866	2	13	01	11	01	-183869	-320	T	-0.0878
-12866	8	9	14	58	56	-183863	-315	A	0.5795
-12865	2	2	18	24	23	-183857	-310	T	-0.8290
-12865	7	29	14	02	33	-183851	-305	P	1.2345
-12865	12	25	01	34	19	-183846	-338	H	0.9806
-12864	6	18	04	54	59	-183840	-333	A	-0.9842
-12864	12	13	08	21	46	-183834	-328	A	0.2338
-12863	6	7	19	19	12	-183828	-323	T	-0.2706
-12863	12	2	09	12	53	-183822	-318	A	-0.5231
-12862	5	28	11	18	59	-183816	-313	T	0.4192
-12862	11	21	10	56	44	-183810	-308	P	-1.2416
-12861	5	18	00	12	21	-183804	-303	P	1.1715
-12861	10	12	08	48	16	-183799	-336	T	0.7908
-12860	4	6	14	44	03	-183793	-331	A	-0.9106
-12860	10	1	00	24	56	-183787	-326	T	0.0919
-12859	3	26	15	04	53	-183781	-321	A	-0.1602
-12859	9	20	15	37	44	-183775	-316	T	-0.6029
-12858	3	15	20	02	07	-183769	-311	A	0.6063
-12858	9	10	01	50	51	-183763	-306	P	-1.3532
-12857	2	4	01	21	17	-183758	-339	P	-1.1932
-12857	3	5	08	18	51	-183757	-301	P	1.3213
-12857	7	31	08	59	44	-183752	-334	A	0.9729
-12856	1	24	18	44	22	-183746	-329	T	-0.4569
-12856	7	19	08	56	30	-183740	-324	A	0.2849
-12855	1	13	09	43	02	-183734	-319	T	0.3098
-12855	7	8	15	29	10	-183728	-314	A	-0.4152
-12854	1	2	18	14	45	-183722	-309	P	1.1290
-12854	6	28	04	41	13	-183716	-304	P	-1.0663
-12854	11	23	04	28	59	-183711	-337	A	-0.9746
-12853	5	19	10	19	24	-183705	-332	T	0.9360
-12853	11	12	07	37	58	-183699	-327	A	-0.2073
-12852	5	7	21	39	58	-183693	-322	A	0.2345
-12852	10	31	17	51	30	-183687	-317	T	0.5324
-12851	4	27	01	54	21	-183681	-312	A	-0.5171
-12851	9	21	23	37	51	-183676	-345	P	-1.4249
-12851	10	21	09	12	23	-183675	-307	P	1.2064
-12850	4	16	01	57	11	-183669	-302	P	-1.2474
-12850	9	11	13	46	30	-183664	-335	A	-0.7939
-12849	3	6	18	13	13	-183658	-330	T	0.7791
-12849	8	31	21	51	40	-183652	-325	A	-0.1118
-12848	2	24	08	12	40	-183646	-320	T	-0.0106
-12848	8	19	22	47	42	-183640	-315	A	0.5817
-12847	2	13	01	29	50	-183634	-310	T	-0.7536
-12847	8	8	21	59	04	-183628	-305	P	1.2356
-12846	1	4	08	20	34	-183623	-338	P	1.0576
-12846	6	29	13	14	25	-183617	-333	A	-0.9859
-12846	12	24	14	43	11	-183611	-328	A	0.3110
-12845	6	19	03	42	48	-183605	-323	T	-0.2820
-12845	12	13	15	30	54	-183599	-318	A	-0.4505
-12844	6	7	19	30	03	-183593	-313	T	0.4016
-12844	12	1	17	42	43	-183587	-308	P	-1.1790
-12843	5	28	07	54	18	-183581	-303	P	1.1488
-12843	10	22	16	48	37	-183576	-336	T	0.8136
-12842	4	17	21	12	04	-183570	-331	A	-0.9755
-12842	10	12	08	41	32	-183564	-326	T	0.1097
-12841	4	6	21	29	49	-183558	-321	A	-0.2306
-12841	10	1	23	52	34	-183552	-316	T	-0.5933
-12840	3	26	02	48	21	-183546	-311	H	0.5340
-12840	9	20	09	49	55	-183540	-306	P	-1.3514
-12839	2	14	08	26	12	-183535	-339	P	-1.2649
-12839	3	15	15	25	32	-183534	-301	P	1.2494
-12839	8	10	16	47	48	-183529	-334	A	0.9701
-12838	2	4	01	48	07	-183523	-329	T	-0.5338
-12838	7	30	16	59	12	-183517	-324	A	0.2792
-12837	1	24	16	26	54	-183511	-319	T	0.2316
-12837	7	19	23	54	04	-183505	-314	A	-0.4185
-12836	1	14	00	30	49	-183499	-309	P	1.0506
-12836	7	8	13	16	36	-183493	-304	P	-1.0650
-12836	12	3	10	56	59	-183488	-337	P	-1.0371
-12835	5	29	18	18	53	-183482	-332	T	0.9614
-12835	11	22	14	41	33	-183476	-327	A	-0.2566
-12834	5	19	05	04	49	-183470	-322	A	0.2701
-12834	11	12	01	30	57	-183464	-317	T	0.4928
-12833	5	8	08	43	54	-183458	-312	A	-0.4697
-12833	10	3	08	00	40	-183453	-345	P	-1.4378
-12833	11	1	17	11	49	-183452	-307	P	1.1761
-12832	4	26	08	35	07	-183446	-302	P	-1.1898
-12832	9	21	22	03	12	-183441	-335	A	-0.8019
-12831	3	17	01	03	25	-183435	-330	T	0.8478
-12831	9	11	05	49	00	-183429	-325	A	-0.1148
-12830	3	6	15	20	07	-183423	-320	T	0.0624
-12830	8	31	06	32	54	-183417	-315	A	0.5814
-12829	2	24	08	36	10	-183411	-310	T	-0.6792
-12829	8	20	05	55	45	-183405	-305	P	1.2362
-12828	1	15	14	59	34	-183400	-338	P	1.1390
-12828	2	14	00	10	53	-183399	-300	P	-1.4676
-12828	7	9	21	40	36	-183394	-333	A	-0.9832
-12827	1	3	20	56	33	-183388	-328	A	0.3940
-12827	6	29	12	14	28	-183382	-323	T	-0.2869
-12827	12	23	21	41	49	-183376	-318	A	-0.3715
-12826	6	19	03	48	49	-183370	-313	T	0.3910
-12826	12	13	00	22	01	-183364	-308	P	-1.1097
-12825	6	8	15	44	30	-183358	-303	P	1.1338
-12825	11	3	00	39	21	-183353	-336	T	0.8450
-12824	4	28	03	49	14	-183347	-331	P	-1.0324
-12824	10	22	16	49	16	-183341	-326	T	0.1347
-12823	4	17	04	04	39	-183335	-321	A	-0.2935
-12823	10	12	07	59	30	-183329	-316	T	-0.5779
-12822	4	6	09	43	32	-183323	-311	H	0.4681
-12822	10	1	17	41	42	-183317	-306	P	-1.3444
-12821	2	25	15	32	06	-183312	-339	P	-1.3361
-12821	3	26	22	37	23	-183311	-301	P	1.1810
-12821	8	22	00	35	53	-183306	-334	A	0.9672
-12820	2	15	08	50	52	-183300	-329	T	-0.6110
-12820	8	10	01	03	02	-183294	-324	A	0.2734
-12819	2	3	23	09	00	-183288	-319	T	0.1530
-12819	7	30	08	22	06	-183282	-314	A	-0.4236
-12818	1	24	06	43	34	-183276	-309	A	0.9700
-12818	7	19	21	55	48	-183270	-304	P	-1.0666
-12818	12	14	17	18	37	-183265	-337	P	-1.1049
-12817	6	10	02	26	24	-183259	-332	T	0.9795
-12817	12	3	21	36	11	-183253	-327	A	-0.3143
-12816	5	29	12	39	16	-183247	-322	A	0.2964
-12816	11	22	09	01	04	-183241	-317	T	0.4443
-12815	5	18	15	44	00	-183235	-312	A	-0.4314
-12815	10	13	16	14	32	-183230	-345	P	-1.4581
-12815	11	12	01	02	14	-183229	-307	P	1.1382
-12814	5	7	15	25	04	-183223	-302	P	-1.1407
-12814	10	3	06	11	23	-183218	-335	A	-0.8160
-12813	3	28	07	59	57	-183212	-330	T	0.9121
-12813	9	22	13	39	14	-183206	-325	A	-0.1227
-12812	3	16	22	31	27	-183200	-320	T	0.1324
-12812	9	10	14	12	48	-183194	-315	A	0.5769
-12811	3	6	15	44	43	-183188	-310	T	-0.6071
-12811	8	30	13	51	36	-183182	-305	P	1.2354
-12810	1	25	21	33	36	-183177	-338	P	1.2232
-12810	2	24	06	58	30	-183176	-300	P	-1.3970
-12810	7	21	06	12	02	-183171	-333	H	-0.9770
-12809	1	15	03	03	59	-183165	-328	A	0.4809
-12809	7	10	20	51	36	-183159	-323	T	-0.2875
-12808	1	4	03	46	40	-183153	-318	A	-0.2870
-12808	6	29	12	13	52	-183147	-313	T	0.3862
-12808	12	23	06	57	18	-183141	-308	P	-1.0356
-12807	6	18	23	40	48	-183135	-303	P	1.1245
-12807	11	13	08	23	19	-183130	-336	T	0.8828
-12806	5	9	10	36	37	-183124	-331	P	-1.0803
-12806	11	3	00	47	55	-183118	-326	T	0.1677
-12805	4	28	10	50	32	-183112	-321	A	-0.3483
-12805	10	23	15	55	30	-183106	-316	T	-0.5542
-12804	4	16	16	49	56	-183100	-311	H	0.4098
-12804	10	12	01	21	14	-183094	-306	P	-1.3282
-12803	3	7	22	43	01	-183089	-339	P	-1.4037
-12803	4	6	05	58	48	-183088	-301	P	1.1195
-12803	9	1	08	20	44	-183083	-334	A	0.9673
-12802	2	25	15	54	03	-183077	-329	T	-0.6874
-12802	8	21	09	08	05	-183071	-324	A	0.2676
-12801	2	15	05	47	43	-183065	-319	T	0.0726
-12801	8	10	16	52	50	-183059	-314	A	-0.4301
-12800	2	4	12	50	36	-183053	-309	A	0.8853
-12800	7	30	06	39	16	-183047	-304	P	-1.0716
-12800	12	24	23	33	49	-183042	-337	P	-1.1783
-12799	6	20	10	40	40	-183036	-332	T	0.9915
-12799	12	14	04	26	34	-183030	-327	A	-0.3768
-12798	6	9	20	21	00	-183024	-322	A	0.3161
-12798	12	3	16	24	56	-183018	-317	T	0.3899
-12797	5	29	22	52	37	-183012	-312	A	-0.4005
-12797	10	25	00	20	04	-183007	-345	P	-1.4849
-12797	11	23	08	44	32	-183006	-307	P	1.0938
-12796	5	17	22	25	53	-183000	-302	P	-1.1001
