1	6	10	06	44	42		-24719	66	T	0.36243					
1	12	3	20	06	08		-24713	71	A	-0.03995					
2	5	30	19	46	14		-24707	76	H	-0.41687					
2	11	23	05	06	46		-24701	81	H	0.64740					
3	5	20	01	42	04		-24695	86	P	-1.23197					
3	10	14	09	22	26		-24690	53	P	-1.38063					
3	11	12	19	37	00		-24689	91	P	1.28202					
4	4	8	11	39	42		-24684	58	H	0.86473					
4	10	2	23	52	51		-24678	63	H	-0.73710					
5	3	28	17	24	00		-24672	68	H	0.07891					
5	9	22	08	42	52		-24666	73	A	-0.02937					
6	3	18	06	05	35		-24660	78	T	-0.65661					
6	9	11	10	36	52		-24654	83	A	0.70460					
7	2	6	13	24	30		-24649	50	P	1.26920					
7	3	7	22	29	21		-24648	88	P	-1.34065					
7	8	1	20	03	31		-24643	55	P	-1.44666					
7	8	31	10	36	28		-24642	93	P	1.40242					
8	1	27	02	17	55		-24637	60	A	0.61142					
8	7	21	05	28	39		-24631	65	T	-0.63409					
9	1	15	08	09	27		-24625	70	A	-0.09490					
9	7	10	20	53	37		-24619	75	T	0.12590					
10	1	4	07	54	59		-24613	80	H	-0.79148					
10	6	30	14	01	34		-24607	85	H	0.86431					
10	11	24	16	31	16		-24602	52	P	1.48551					
10	12	24	08	29	58		-24601	90	P	-1.43843					
11	5	21	17	47	38		-24596	57	H	-0.98405					
11	11	14	03	29	31		-24590	62	T	0.74142					
12	5	9	21	46	30		-24584	67	A	-0.23208					
12	11	2	18	49	07		-24578	72	T	0.05890					
13	4	28	22	16	48		-24572	77	A	0.52907					
13	10	23	09	51	09		-24566	82	T	-0.63057					
14	3	19	15	38	48		-24561	49	P	-1.43911					
14	4	18	02	42	16		-24560	87	P	1.25688					
14	9	13	04	53	25		-24555	54	P	1.49754					
14	10	12	20	04	36		-24554	92	P	-1.38811					
15	3	9	05	44	38		-24549	59	T	-0.67088					
15	9	2	05	35	02		-24543	64	H	0.81256					
16	2	26	22	16	33		-24537	69	T	0.03664					
16	8	21	06	34	06		-24531	74	A	0.07022					
17	2	15	12	31	17		-24525	79	H	0.77144					
17	8	10	14	08	17		-24519	84	H	-0.67509					
18	1	6	03	13	33		-24514	51	P	-1.41700					
18	2	4	20	21	08		-24513	89	P	1.54921					
18	7	1	21	15	03		-24508	56	P	1.15714					
18	7	31	04	23	45		-24507	94	P	-1.36331					
18	12	26	02	19	51		-24502	61	H	-0.75178					
19	6	21	14	04	43		-24496	66	T	0.43756					
19	12	15	04	26	53		-24490	71	A	-0.04278					
20	6	10	02	41	05		-24484	76	H	-0.33831					
20	12	3	13	50	19		-24478	81	H	0.64512					
21	5	30	08	08	26		-24472	86	P	-1.14875					
21	10	24	18	02	17		-24467	53	P	-1.39246					
21	11	23	04	29	12		-24466	91	P	1.27951					
22	4	19	18	23	09		-24461	58	H	0.93611					
22	10	14	08	13	19		-24455	63	H	-0.75584					
23	4	9	00	41	35		-24449	68	H	0.14042					
23	10	3	16	31	30		-24443	73	A	-0.05608					
24	3	28	13	52	44		-24437	78	T	-0.60394					
24	9	21	17	57	39		-24431	83	A	0.66663					
25	2	16	21	44	31		-24426	50	P	1.29736					
