Year	Month	Day	Hour	Minute	Second	Catalog	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-12961	9	23	-4	-11	-51	0	Pen	—	—	26S	155W
-12960	2	17	15	02	09	0	Pen	—	—	17N	85W
-12960	3	18	-22	-7	-49	0	Pen	—	—	25N	109E
-12960	8	13	-7	-43	-40	0	P	—	—	16S	105E
-12959	2	06	04	46	50	0	T	—	—	15N	114E
-12959	8	02	-6	-37	-52	0	T	—	—	13S	109E
-12958	1	26	21	59	36	0	T	—	—	12N	1W
-12958	7	22	-7	-31	00	0	P	—	—	9S	83E
-12958	12	18	04	57	04	0	Pen	—	—	5S	65E
-12957	1	16	14	02	32	0	Pen	—	—	9N	132W
-12957	6	12	-16	-17	-2	0	Pen	—	—	9N	77W
-12957	7	11	-3	-1	-9	0	Pen	—	—	6S	147E
-12957	12	07	11	36	05	0	P	—	—	9S	159E
-12956	5	31	-1	-45	-7	0	P	—	—	13N	123E
-12956	11	25	12	22	01	0	T	—	—	12S	148E
-12955	5	21	-9	-42	-54	0	T	—	—	16N	8W
-12955	11	14	14	06	17	0	P	—	—	15S	167E
-12954	5	11	-20	-50	-3	0	P	—	—	18N	177E
-12954	10	05	-12	-12	-48	0	Pen	—	—	26S	97E
-12954	11	03	22	26	49	0	Pen	—	—	18S	84W
-12953	3	31	-6	-6	-46	0	Pen	—	—	26N	2E
-12953	4	30	-14	-40	-59	0	Pen	—	—	20N	104W
-12953	9	25	-20	-40	-7	0	P	—	—	25S	49W
-12952	3	19	-5	-39	-7	0	P	—	—	25N	9W
-12952	9	13	-5	-36	-31	0	T	—	—	24S	166E
-12951	3	08	00	-31	-40	0	T	—	—	23N	55E
-12951	9	03	-19	-34	-36	0	P	—	—	22S	55W
-12950	2	26	11	51	30	0	P	—	—	20N	121W
-12950	8	23	-16	-56	-55	0	Pen	—	—	19S	21W
-12949	1	17	22	18	37	0	P	—	—	9N	10W
-12949	2	16	04	40	47	0	Pen	—	—	16N	124E
-12949	7	13	-12	-33	-33	0	P	—	—	6S	1W
-12948	1	07	13	11	25	0	T	—	—	4N	156W
-12948	7	01	-5	-49	-55	0	T	—	—	1S	93E
-12948	12	26	21	36	08	0	P	—	—	1S	31W
-12947	6	21	-16	-31	-26	0	P	—	—	4N	82W
-12947	11	16	07	34	53	0	Pen	—	—	14S	78E
-12947	12	15	23	24	00	0	Pen	—	—	6S	27W
-12946	5	12	-10	-40	-4	0	Pen	—	—	17N	32W
-12946	6	10	00	-40	-10	0	Pen	—	—	9N	147E
-12946	11	05	10	45	33	0	P	—	—	18S	112E
-12945	5	02	-23	-19	-40	0	P	—	—	20N	138E
-12945	10	25	-3	00	-25	0	T	—	—	21S	108W
-12944	4	20	-19	-4	-47	0	T	—	—	23N	173W
-12944	10	14	-11	-44	-52	0	P	—	—	24S	106E
-12943	4	09	-18	-55	-35	0	P	—	—	25N	176E
-12943	9	04	-7	-33	-18	0	Pen	—	—	21S	127E
-12943	10	04	-19	-55	-3	0	Pen	—	—	26S	24W
-12942	2	27	21	43	11	0	Pen	—	—	20N	31E
-12942	3	29	-15	-27	-56	0	Pen	—	—	26N	135W
-12942	8	25	-23	-37	-23	0	P	—	—	20S	124W
-12941	2	17	11	47	19	0	P	—	—	18N	130W
-12941	8	14	-22	-48	-8	0	T	—	—	17S	120W
-12940	2	07	05	04	07	0	T	—	—	15N	115E
-12940	8	02	-23	-34	-22	0	P	—	—	14S	146W
-12939	1	26	20	53	05	0	P	—	—	13N	16W
-12939	6	22	-8	-1	-40	0	Pen	—	—	5N	54E
-12939	7	22	-18	-42	-28	0	Pen	—	—	10S	82W
-12939	12	17	18	02	18	0	P	—	—	5S	101W
-12938	6	12	-17	-26	-35	0	P	—	—	8N	92W
-12938	12	06	18	45	47	0	T	—	—	8S	97W
-12937	6	01	-1	-37	-3	0	T	—	—	12N	123E
-12937	11	25	20	57	07	0	P	—	—	12S	78W
-12936	5	21	-13	-13	-52	0	P	—	—	15N	53W
-12936	10	15	-4	-8	-58	0	Pen	—	—	24S	132W
-12936	11	14	05	55	06	0	Pen	—	—	15S	47E
-12935	4	11	-23	-42	-51	0	Pen	—	—	26N	102E
-12935	5	10	-7	-41	-31	0	Pen	—	—	18N	12E
-12935	10	05	-12	-20	-26	0	P	—	—	25S	97E
-12934	3	31	-23	-17	-31	0	P	—	—	25N	106E
-12934	9	25	-21	-17	-16	0	T	—	—	25S	48W
-12933	3	20	-17	-49	-29	0	T	—	—	24N	170E
-12933	9	14	-11	-31	-37	0	P	—	—	23S	76E
-12932	3	08	-5	-5	-51	0	P	—	—	22N	5W
-12932	9	02	-9	-10	-56	0	Pen	—	—	21S	110E
-12931	1	28	05	21	07	0	Pen	—	—	13N	106E
-12931	2	26	11	48	02	0	Pen	—	—	19N	121W
-12931	7	23	-4	-32	00	0	P	—	—	10S	130E
-12930	1	17	19	57	12	0	T	—	—	9N	40W
-12930	7	13	-21	-27	-47	0	T	—	—	6S	121W
-12929	1	07	03	55	26	0	T	—	—	4N	69E
-12929	7	02	-7	-59	-31	0	P	—	—	0S	63E
-12929	12	27	05	31	03	0	Pen	—	—	1S	88E
-12928	5	22	-2	-46	-36	0	Pen	—	—	14N	99E
-12928	6	21	-16	-16	-1	0	Pen	—	—	5N	67W
-12928	11	15	17	53	48	0	P	—	—	15S	132W
-12927	5	12	-16	00	-2	0	P	—	—	18N	107W
-12927	11	05	04	43	06	0	T	—	—	19S	23E
-12926	5	01	-12	-20	-26	0	T	—	—	21N	58W
-12926	10	25	-3	-40	-1	0	P	—	—	22S	123W
-12925	4	20	-12	-23	-11	0	P	—	—	24N	69W
