Year	Month	Day	Hour	Minute	Second	Catalog	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-4442	4	09	05	50	29	0	T	—	—	7N	108W
-4442	10	03	20	30	54	0	T	—	—	10S	68W
-4441	3	29	10	41	48	0	P	—	—	12N	44W
-4441	9	23	06	22	27	0	P	—	—	14S	56E
-4440	2	17	14	58	59	0	Pen	—	—	21N	23W
-4440	3	17	22	42	05	0	Pen	—	—	16N	126E
-4440	8	12	14	32	12	0	Pen	—	—	22S	151E
-4440	9	11	09	01	17	0	Pen	—	—	19S	90E
-4439	2	06	07	48	34	0	P	—	—	23N	139W
-4439	8	01	15	19	17	0	P	—	—	23S	140E
-4438	1	26	22	16	53	0	T	—	—	24N	61E
-4438	7	21	22	47	51	0	T	—	—	24S	111W
-4437	1	16	06	16	16	0	P	—	—	25N	170E
-4437	7	11	12	54	43	0	P	—	—	24S	89E
-4437	12	06	13	06	40	0	Pen	—	—	14N	125W
-4436	5	31	21	50	49	0	Pen	—	—	12S	176W
-4436	6	30	05	39	07	0	Pen	—	—	22S	27W
-4436	11	24	15	26	03	0	P	—	—	11N	106W
-4435	5	21	10	09	50	0	T	—	—	9S	6W
-4435	11	14	00	56	26	0	T	—	—	8N	33E
-4434	5	10	15	21	18	0	T	—	—	5S	58E
-4434	11	03	15	35	16	0	P	—	—	4N	113W
-4433	4	29	16	04	47	0	Pen	—	—	1S	62E
-4433	9	24	18	35	34	0	Pen	—	—	14S	107W
-4433	10	24	06	52	07	0	Pen	—	—	0N	102E
-4432	3	19	08	56	32	0	P	—	—	15N	83W
-4432	9	13	02	29	54	0	P	—	—	17S	13W
-4431	3	08	22	33	53	0	T	—	—	17N	116E
-4431	9	02	03	31	49	0	T	—	—	20S	6E
-4430	2	26	15	30	40	0	P	—	—	19N	1E
-4430	8	22	03	13	49	0	P	—	—	22S	20W
-4429	1	17	20	24	43	0	Pen	—	—	25N	22E
-4429	2	16	07	06	05	0	Pen	—	—	21N	144W
-4429	7	12	21	24	37	0	Pen	—	—	24S	150W
-4429	8	11	08	44	26	0	Pen	—	—	22S	59E
-4428	1	07	02	08	44	0	P	—	—	23N	101E
-4428	7	01	12	48	57	0	P	—	—	22S	80E
-4428	12	26	02	05	08	0	T	—	—	21N	90E
-4427	6	21	05	32	55	0	T	—	—	19S	36W
-4427	12	15	03	19	17	0	P	—	—	17N	94E
-4426	6	10	18	55	26	0	P	—	—	15S	149E
-4426	11	04	23	21	33	0	Pen	—	—	5N	6W
-4426	12	04	11	22	59	0	Pen	—	—	13N	157W
-4425	5	01	11	20	15	0	Pen	—	—	2S	11W
-4425	10	25	14	38	32	0	P	—	—	0S	137W
-4424	4	19	12	06	02	0	T	—	—	3N	7W
-4424	10	14	05	15	12	0	T	—	—	5S	63E
-4423	4	08	17	27	27	0	P	—	—	8N	57E
-4423	10	03	14	41	34	0	P	—	—	10S	158W
-4422	2	27	22	37	03	0	Pen	—	—	19N	107E
-4422	3	29	05	58	07	0	Pen	—	—	12N	119W
-4422	8	23	21	59	02	0	Pen	—	—	20S	93W
-4422	9	22	16	53	02	0	Pen	—	—	15S	139W
-4421	2	17	15	34	50	0	P	—	—	21N	8W
-4421	8	12	22	52	45	0	P	—	—	23S	89W
-4420	2	07	05	53	31	0	T	—	—	24N	168W
-4420	8	01	06	39	01	0	T	—	—	24S	20E
-4419	1	26	13	34	19	0	P	—	—	25N	59W
-4419	7	21	20	53	39	0	P	—	—	25S	140W
-4419	12	16	20	46	27	0	Pen	—	—	18N	5E
-4418	6	12	05	14	12	0	Pen	—	—	15S	60W
-4418	7	11	13	28	50	0	Pen	—	—	24S	89E
-4418	12	05	23	35	31	0	P	—	—	15N	39E
-4417	6	01	17	00	57	0	T	—	—	12S	110E
-4417	11	25	09	34	16	0	T	—	—	12N	179E
-4416	5	20	21	40	36	0	T	—	—	9S	174E
-4416	11	14	00	26	29	0	P	—	—	8N	18E
-4415	5	09	22	18	02	0	Pen	—	—	6S	163E
-4415	10	05	03	12	05	0	Pen	—	—	10S	24E
-4415	11	03	15	40	45	0	Pen	—	—	5N	112W
-4414	3	30	15	53	34	0	P	—	—	11N	33E
-4414	9	24	10	37	03	0	P	—	—	13S	133E
-4413	3	20	05	57	07	0	T	—	—	14N	128W
-4413	9	13	11	16	22	0	T	—	—	17S	122E
-4412	3	08	23	03	07	0	P	—	—	17N	117E
-4412	9	01	10	59	48	0	P	—	—	19S	111E
-4411	1	28	04	02	03	0	Pen	—	—	25N	152E
-4411	2	26	14	32	29	0	Pen	—	—	19N	14W
-4411	7	23	05	13	46	0	Pen	—	—	25S	19W
-4411	8	21	16	46	59	0	Pen	—	—	21S	170W
-4410	1	17	09	29	13	0	P	—	—	24N	143W
-4410	7	12	20	41	25	0	P	—	—	24S	150W
-4409	1	06	09	27	38	0	T	—	—	23N	155W
-4409	7	02	13	10	50	0	T	—	—	21S	80E
-4409	12	26	11	08	52	0	P	—	—	20N	136W
-4408	6	21	02	04	33	0	P	—	—	18S	95W
-4408	11	15	08	07	00	0	Pen	—	—	9N	140E
-4408	12	14	19	44	23	0	Pen	—	—	17N	11W
-4407	5	11	17	33	38	0	Pen	—	—	7S	105E
-4407	11	04	23	31	46	0	P	—	—	4N	9E
-4406	4	30	18	24	37	0	T	—	—	1S	93E
-4406	10	25	13	59	05	0	T	—	—	1S	151W
-4405	4	20	00	14	23	0	T	—	—	4N	173E
-4405	10	14	23	02	15	0	P	—	—	6S	27W
-4404	3	10	06	07	12	0	Pen	—	—	16N	137W
-4404	4	08	13	10	24	0	Pen	—	—	8N	3W
-4404	9	03	05	36	48	0	Pen	—	—	18S	38E
-4404	10	03	00	50	49	0	Pen	—	—	11S	8W
-4403	2	27	23	11	19	0	P	—	—	19N	108E
-4403	8	23	06	38	18	0	P	—	—	21S	42E
-4402	2	17	13	19	29	0	T	—	—	22N	53W
-4402	8	12	14	41	08	0	T	—	—	23S	151E
-4401	2	06	20	41	34	0	P	—	—	24N	57E
-4401	8	02	05	00	40	0	P	—	—	25S	10W
-4401	12	28	04	19	55	0	Pen	—	—	20N	121E
-4400	6	22	12	41	11	0	Pen	—	—	18S	71E
-4400	7	21	21	25	29	0	Pen	—	—	25S	140W
-4400	12	16	07	39	21	0	P	—	—	18N	170E
-4399	6	11	23	55	40	0	P	—	—	16S	135W
-4399	12	05	18	08	12	0	T	—	—	16N	50W
-4398	6	01	04	03	30	0	T	—	—	13S	86W
-4398	11	25	09	14	41	0	P	—	—	12N	164E
-4397	5	21	04	35	36	0	Pen	—	—	10S	82W
-4397	10	16	11	49	46	0	Pen	—	—	6S	170E
-4397	11	15	00	26	12	0	Pen	—	—	9N	19E
-4396	4	09	22	49	17	0	P	—	—	7N	149E
-4396	10	04	18	47	22	0	P	—	—	9S	96W
-4395	3	30	13	17	36	0	T	—	—	11N	12W
-4395	9	23	19	06	14	0	T	—	—	13S	107W
-4394	3	20	06	31	06	0	P	—	—	13N	112W
-4394	9	12	18	54	34	0	P	—	—	16S	118W
-4393	2	08	11	28	10	0	Pen	—	—	25N	92W
-4393	3	09	21	49	58	0	Pen	—	—	16N	102E
-4393	8	03	13	13	09	0	Pen	—	—	25S	112E
-4393	9	02	00	59	19	0	Pen	—	—	19S	39W
-4392	1	28	16	37	20	0	P	—	—	25N	13W
-4392	7	23	04	42	48	0	P	—	—	25S	19W
-4391	1	16	16	38	12	0	T	—	—	24N	24W
-4391	7	12	20	57	07	0	T	—	—	23S	149W
-4390	1	05	18	50	24	0	P	—	—	22N	5W
-4390	7	02	09	19	00	0	P	—	—	21S	20E
-4390	11	26	16	49	43	0	Pen	—	—	14N	74W
-4390	12	26	04	00	11	0	Pen	—	—	20N	120E
-4389	5	22	23	48	37	0	Pen	—	—	11S	155W
-4389	11	16	08	23	34	0	P	—	—	9N	140E
-4388	5	11	00	43	55	0	T	—	—	6S	151W
-4388	11	04	22	42	31	0	T	—	—	4N	5W
-4387	4	30	07	02	55	0	T	—	—	1S	72W
-4387	10	25	07	22	39	0	P	—	—	1S	104E
-4386	3	21	13	34	19	0	Pen	—	—	12N	6W
-4386	4	19	20	24	00	0	Pen	—	—	4N	113E
-4386	9	14	13	21	47	0	Pen	—	—	15S	153E
-4386	10	14	08	50	55	0	Pen	—	—	7S	123E
-4385	3	11	06	41	28	0	P	—	—	16N	121W
-4385	9	03	14	32	29	0	P	—	—	19S	172E
-4384	2	28	20	36	23	0	T	—	—	20N	78E
-4384	8	22	22	52	53	0	T	—	—	22S	78W
-4383	2	17	03	37	09	0	P	—	—	23N	172E
-4383	8	12	13	17	36	0	P	—	—	24S	121E
-4382	1	07	11	43	52	0	Pen	—	—	22N	108W
-4382	2	06	04	29	51	0	Pen	—	—	25N	161E
-4382	7	03	20	14	55	0	Pen	—	—	20S	173W
-4382	8	02	05	30	02	0	Pen	—	—	25S	9W
-4382	12	27	15	35	59	0	P	—	—	21N	59W
-4381	6	23	06	55	17	0	P	—	—	19S	19W
-4381	12	17	02	34	56	0	T	—	—	19N	95E
-4380	6	11	10	30	43	0	T	—	—	17S	30E
-4380	12	05	17	56	41	0	P	—	—	16N	50W
-4379	5	31	10	58	56	0	P	—	—	13S	19E
-4379	10	26	20	27	27	0	Pen	—	—	1S	60W
-4379	11	25	09	06	54	0	Pen	—	—	13N	165E
-4378	4	21	05	45	44	0	P	—	—	3N	96W
-4378	10	16	03	00	43	0	P	—	—	5S	35E
-4377	4	10	20	34	47	0	T	—	—	7N	119E
-4377	10	05	03	02	09	0	T	—	—	9S	24E
-4376	3	30	13	53	11	0	P	—	—	10N	3E
-4376	9	23	02	57	24	0	P	—	—	13S	12E
-4375	2	18	18	43	55	0	Pen	—	—	23N	39E
-4375	3	20	05	00	23	0	Pen	—	—	13N	142W
-4375	8	13	21	22	36	0	Pen	—	—	25S	117W
-4375	9	12	09	20	26	0	Pen	—	—	16S	92E
-4374	2	07	23	36	31	0	P	—	—	24N	103E
-4374	8	03	12	51	50	0	P	—	—	25S	112E
-4373	1	27	23	41	51	0	T	—	—	24N	92E
-4373	7	24	04	50	18	0	T	—	—	24S	18W
-4372	1	17	02	23	34	0	P	—	—	23N	111E
-4372	7	12	16	40	30	0	P	—	—	22S	151E
-4372	12	07	01	26	41	0	Pen	—	—	17N	56E
-4371	1	05	12	07	37	0	Pen	—	—	21N	110W
-4371	6	02	06	09	12	0	Pen	—	—	14S	54W
-4371	7	01	21	29	13	0	Pen	—	—	20S	160W
-4371	11	26	17	09	35	0	P	—	—	13N	74W
-4370	5	22	07	10	07	0	P	—	—	10S	50W
-4370	11	16	07	22	04	0	T	—	—	8N	125E
-4369	5	11	13	54	20	0	T	—	—	5S	44E
-4369	11	05	15	41	36	0	P	—	—	3N	110W
-4368	3	31	20	56	23	0	Pen	—	—	8N	110E
-4368	4	30	03	37	09	0	P	—	—	0S	116W
-4368	9	24	21	14	23	0	Pen	—	—	11S	76W
-4368	10	24	16	52	01	0	Pen	—	—	2S	106W
-4367	3	21	14	04	16	0	P	—	—	13N	6W
-4367	9	13	22	37	12	0	P	—	—	16S	57W
-4366	3	11	03	44	38	0	T	—	—	17N	166W
-4366	9	03	07	13	35	0	T	—	—	19S	52E
-4365	2	28	10	23	39	0	P	—	—	20N	87W
-4365	8	23	21	42	54	0	P	—	—	22S	93W
-4364	1	18	18	58	53	0	Pen	—	—	23N	8E
-4364	2	17	11	12	02	0	Pen	—	—	23N	83W
-4364	7	14	03	54	43	0	Pen	—	—	22S	42W
-4364	8	12	13	42	48	0	Pen	—	—	25S	137E
-4363	1	06	23	25	35	0	P	—	—	22N	57E
-4363	7	03	14	00	48	0	P	—	—	21S	97E
-4363	12	27	10	55	29	0	T	—	—	21N	134W
-4362	6	22	17	04	42	0	T	—	—	19S	131E
-4362	12	17	02	33	12	0	P	—	—	20N	96E
-4361	6	11	17	28	27	0	P	—	—	17S	120E
-4361	11	07	05	03	07	0	Pen	—	—	4N	86E
-4361	12	06	17	41	34	0	Pen	—	—	17N	50W
-4360	5	01	12	44	12	0	Pen	—	—	1S	20E
-4360	5	30	22	32	52	0	Pen	—	—	14S	161W
-4360	10	26	11	12	20	0	P	—	—	0S	165E
-4359	4	21	03	52	16	0	T	—	—	3N	125W
-4359	10	15	11	00	31	0	T	—	—	5S	154E
-4358	4	10	21	12	48	0	T	—	—	6N	119E
-4358	10	04	11	05	25	0	P	—	—	9S	143E
-4357	3	02	01	49	43	0	Pen	—	—	21N	155E
-4357	3	31	12	04	19	0	Pen	—	—	9N	26W
-4357	8	25	05	41	51	0	Pen	—	—	23S	28E
-4357	9	23	17	49	11	0	Pen	—	—	12S	123W
-4356	2	19	06	22	27	0	P	—	—	22N	156W
-4356	8	13	21	10	56	0	P	—	—	24S	117W
-4355	2	07	06	33	59	0	T	—	—	23N	152W
-4355	8	03	12	51	41	0	T	—	—	24S	112E
-4354	1	27	09	48	31	0	P	—	—	23N	118W
-4354	7	24	00	09	12	0	P	—	—	23S	93W
-4354	12	18	09	58	10	0	Pen	—	—	20N	158W
-4353	1	16	20	07	52	0	Pen	—	—	23N	21E
-4353	6	13	12	32	49	0	Pen	—	—	18S	62E
-4353	7	13	04	21	38	0	Pen	—	—	22S	44W
-4353	12	08	01	51	18	0	P	—	—	17N	72E
-4352	6	01	13	40	39	0	P	—	—	14S	66E
-4352	11	26	15	56	44	0	T	—	—	12N	89W
-4351	5	21	20	50	47	0	T	—	—	9S	160E
-4351	11	15	23	57	15	0	P	—	—	8N	20E
-4350	5	11	10	53	02	0	P	—	—	5S	1W
-4350	10	06	05	10	53	0	Pen	—	—	7S	55E
-4350	11	05	00	51	59	0	Pen	—	—	3N	24E
-4349	4	01	21	23	11	0	P	—	—	9N	110E
-4349	9	25	06	48	14	0	P	—	—	12S	74E
-4348	3	21	10	44	32	0	T	—	—	13N	50W
-4348	9	13	15	42	20	0	T	—	—	16S	162W
-4347	3	10	17	01	06	0	P	—	—	17N	29E
-4347	9	03	06	15	50	0	P	—	—	20S	38E
-4346	1	29	02	04	33	0	Pen	—	—	23N	124E
-4346	2	27	17	46	27	0	Pen	—	—	21N	33E
-4346	7	25	11	43	00	0	Pen	—	—	23S	88E
-4346	8	23	22	03	38	0	Pen	—	—	23S	93W
-4345	1	18	07	06	40	0	P	—	—	23N	172W
-4345	7	14	21	12	57	0	P	—	—	23S	147W
-4344	1	07	19	07	32	0	T	—	—	23N	3W
-4344	7	02	23	46	27	0	T	—	—	22S	113W
-4344	12	27	11	00	40	0	P	—	—	22N	133W
-4343	6	22	00	07	12	0	P	—	—	20S	124W
-4343	11	17	13	35	45	0	Pen	—	—	8N	128W
-4343	12	17	02	09	01	0	Pen	—	—	20N	81E
-4342	5	12	19	45	33	0	Pen	—	—	5S	136E
-4342	6	11	05	31	46	0	Pen	—	—	18S	45W
-4342	11	06	19	23	31	0	P	—	—	4N	64W
-4341	5	02	11	09	35	0	T	—	—	2S	10W
-4341	10	26	19	01	03	0	T	—	—	0N	75W
-4340	4	21	04	28	42	0	T	—	—	2N	125W
-4340	10	14	19	18	46	0	P	—	—	4S	86W
-4339	3	12	08	47	19	0	Pen	—	—	18N	89W
-4339	4	10	19	03	47	0	Pen	—	—	5N	90E
-4339	9	04	14	08	52	0	Pen	—	—	20S	159E
-4339	10	04	02	22	42	0	Pen	—	—	8S	8E
-4338	3	01	13	01	12	0	P	—	—	20N	40W
-4338	8	25	05	37	06	0	P	—	—	22S	29E
-4337	2	18	13	19	03	0	T	—	—	22N	51W
-4337	8	14	21	00	08	0	T	—	—	23S	117W
-4336	2	07	17	05	59	0	P	—	—	23N	2W
-4336	8	03	07	45	50	0	P	—	—	23S	38E
-4336	12	28	18	20	52	0	Pen	—	—	23N	27W
-4335	1	27	03	59	02	0	Pen	—	—	23N	152E
-4335	6	23	19	06	05	0	Pen	—	—	21S	162E
-4335	7	23	11	24	25	0	Pen	—	—	23S	72E
-4335	12	18	10	25	14	0	P	—	—	20N	157W
-4334	6	12	20	19	40	0	P	—	—	17S	166E
-4334	12	08	00	24	11	0	T	—	—	16N	42E
-4333	6	02	03	53	25	0	T	—	—	13S	84W
-4333	11	27	08	06	17	0	P	—	—	12N	151E
-4332	5	21	18	11	39	0	P	—	—	9S	115E
-4332	10	16	13	11	59	0	Pen	—	—	3S	174W
-4332	11	15	08	49	11	0	Pen	—	—	7N	155E
-4331	4	12	04	37	20	0	P	—	—	5N	119W
-4331	5	11	11	26	44	0	Pen	—	—	4S	0W
-4331	10	05	15	05	28	0	P	—	—	8S	155W
-4330	4	01	17	38	06	0	T	—	—	9N	65E
-4330	9	25	00	18	25	0	T	—	—	13S	31W
-4329	3	21	23	29	45	0	P	—	—	14N	130E
-4329	9	14	14	56	06	0	P	—	—	17S	176W
-4328	2	09	09	02	18	0	Pen	—	—	22N	121W
-4328	3	10	00	13	14	0	Pen	—	—	18N	133E
-4328	8	04	19	38	29	0	Pen	—	—	23S	141W
-4328	9	03	06	31	40	0	Pen	—	—	20S	53E
-4327	1	28	14	40	16	0	P	—	—	23N	42W
-4327	7	25	04	33	01	0	P	—	—	23S	17W
-4326	1	18	03	13	14	0	T	—	—	24N	128E
-4326	7	14	06	35	51	0	T	—	—	23S	2E
-4325	1	07	19	21	12	0	P	—	—	24N	3W
-4325	7	03	06	55	09	0	P	—	—	22S	9W
-4325	11	28	22	01	55	0	Pen	—	—	12N	3E
-4325	12	28	10	26	58	0	Pen	—	—	23N	148W
-4324	5	23	02	51	47	0	Pen	—	—	9S	108W
-4324	6	21	12	39	53	0	Pen	—	—	20S	71E
-4324	11	17	03	29	31	0	P	—	—	8N	67E
-4323	5	12	18	29	48	0	T	—	—	6S	106E
-4323	11	06	02	59	08	0	T	—	—	5N	56E
-4322	5	02	11	44	52	0	T	—	—	2S	6E
-4322	10	26	03	33	59	0	P	—	—	1N	60E
-4321	3	23	15	35	16	0	Pen	—	—	14N	26E
-4321	4	22	01	57	47	0	Pen	—	—	1N	155W
-4321	9	15	22	44	15	0	Pen	—	—	17S	55W
-4321	10	15	11	00	48	0	Pen	—	—	4S	154E
-4320	3	11	19	29	08	0	P	—	—	17N	60E
-4320	9	04	14	11	54	0	P	—	—	20S	160E
-4319	2	28	19	55	03	0	T	—	—	19N	64E
-4319	8	25	05	17	13	0	T	—	—	21S	14E
-4318	2	18	00	16	50	0	P	—	—	21N	113E
-4318	8	14	15	29	22	0	P	—	—	23S	153E
-4317	1	09	02	37	32	0	Pen	—	—	25N	119E
-4317	2	07	11	43	52	0	Pen	—	—	22N	77W
-4317	7	05	01	45	50	0	Pen	—	—	23S	82W
-4317	8	03	18	35	08	0	Pen	—	—	23S	157W
-4317	12	29	18	51	33	0	P	—	—	22N	12W
-4316	6	23	03	06	46	0	P	—	—	20S	78W
-4316	12	18	08	44	26	0	T	—	—	19N	172W
-4315	6	12	11	03	33	0	T	—	—	17S	31E
-4315	12	07	16	08	23	0	P	—	—	16N	78W
-4314	6	02	01	36	02	0	P	—	—	13S	114W
-4314	10	27	21	13	58	0	Pen	—	—	2N	43W
-4314	11	26	16	41	48	0	Pen	—	—	11N	74W
-4313	4	23	11	48	54	0	P	—	—	0N	3W
-4313	5	22	18	47	31	0	Pen	—	—	8S	131E
-4313	10	16	23	26	26	0	P	—	—	3S	24W
-4312	4	12	00	26	55	0	T	—	—	5N	166E
-4312	10	05	08	58	59	0	T	—	—	8S	115E
-4311	4	01	05	53	05	0	P	—	—	10N	115W
-4311	9	24	23	42	17	0	P	—	—	13S	30W
-4310	2	19	15	52	33	0	Pen	—	—	20N	5W
-4310	3	21	06	35	08	0	Pen	—	—	15N	111W
-4310	8	16	03	41	45	0	Pen	—	—	21S	10W
-4310	9	14	15	05	54	0	Pen	—	—	17S	176W
-4309	2	08	22	06	23	0	P	—	—	22N	74E
-4309	8	05	12	01	35	0	P	—	—	23S	99E
-4308	1	29	11	08	35	0	T	—	—	24N	101W
-4308	7	24	13	35	28	0	T	—	—	24S	118E
-4307	1	18	03	31	49	0	P	—	—	25N	143E
-4307	7	13	13	53	45	0	P	—	—	24S	107E
-4307	12	09	06	21	18	0	Pen	—	—	16N	134E
-4306	1	07	18	35	51	0	Pen	—	—	25N	2W
-4306	6	03	10	03	38	0	Pen	—	—	13S	7E
-4306	7	02	19	57	12	0	Pen	—	—	23S	174W
-4306	11	28	11	31	12	0	P	—	—	13N	147W
-4305	5	24	01	51	10	0	P	—	—	10S	123W
-4305	11	17	10	56	21	0	T	—	—	9N	173W
-4304	5	12	19	00	28	0	T	—	—	6S	122E
-4304	11	05	11	49	29	0	P	—	—	5N	169W
-4303	5	02	08	51	04	0	P	—	—	3S	39W
-4303	9	26	07	25	32	0	Pen	—	—	13S	76E
-4303	10	25	19	41	05	0	Pen	—	—	1N	60W
-4302	3	23	01	52	10	0	P	—	—	14N	176E
-4302	9	15	22	52	01	0	P	—	—	16S	55W
-4301	3	12	02	26	26	0	T	—	—	17N	165E
-4301	9	05	13	40	30	0	T	—	—	19S	160E
-4300	2	29	07	20	47	0	P	—	—	19N	131W
-4300	8	24	23	21	15	0	P	—	—	21S	76W
-4299	1	19	10	44	41	0	Pen	—	—	25N	110W
-4299	2	17	19	21	04	0	Pen	—	—	21N	39E
-4299	7	15	08	36	14	0	Pen	—	—	25S	34E
-4299	8	14	01	55	20	0	Pen	—	—	22S	42W
-4298	1	09	03	08	12	0	P	—	—	24N	119E
-4298	7	04	10	04	48	0	P	—	—	23S	38E
-4298	12	29	16	54	28	0	T	—	—	22N	41W
-4297	6	23	18	21	27	0	T	—	—	20S	147E
-4297	12	19	00	01	17	0	P	—	—	19N	53E
-4296	6	12	09	05	54	0	P	—	—	16S	2E
-4296	11	07	05	15	30	0	Pen	—	—	6N	87E
-4296	12	07	00	27	12	0	Pen	—	—	15N	42E
-4295	5	03	18	59	19	0	Pen	—	—	4S	112E
-4295	6	02	02	12	02	0	Pen	—	—	12S	114W
-4295	10	27	07	50	52	0	P	—	—	1N	121E
-4294	4	23	07	11	25	0	T	—	—	1N	78W
-4294	10	16	17	43	52	0	T	—	—	4S	99W
-4293	4	12	12	11	05	0	T	—	—	6N	14W
-4293	10	06	08	33	21	0	P	—	—	9S	115E
-4292	3	31	12	51	50	0	Pen	—	—	11N	10W
-4292	8	26	11	52	39	0	Pen	—	—	20S	121E
-4292	9	24	23	45	44	0	Pen	—	—	13S	30W
-4291	2	19	05	26	35	0	P	—	—	21N	170W
-4291	8	15	19	37	03	0	P	—	—	22S	130W
-4290	2	08	18	58	19	0	T	—	—	23N	29E
-4290	8	04	20	44	09	0	T	—	—	24S	126W
-4289	1	29	11	34	13	0	P	—	—	25N	86W
-4289	7	24	21	02	35	0	P	—	—	25S	137W
-4289	12	20	14	31	46	0	Pen	—	—	19N	80W
-4288	1	19	02	34	04	0	Pen	—	—	25N	129E
-4288	6	13	17	23	16	0	Pen	—	—	16S	123E
-4288	7	13	03	25	20	0	Pen	—	—	24S	58W
-4288	12	08	19	23	31	0	P	—	—	16N	31W
-4287	6	03	09	18	43	0	P	—	—	13S	7W
-4287	11	27	18	48	14	0	T	—	—	13N	42W
-4286	5	24	02	17	57	0	T	—	—	10S	123W
-4286	11	16	20	03	33	0	P	—	—	9N	38W
-4285	5	13	15	42	37	0	P	—	—	7S	77E
-4285	10	07	16	12	08	0	Pen	—	—	9S	138W
-4285	11	06	04	21	21	0	Pen	—	—	6N	71E
-4284	4	02	08	07	26	0	Pen	—	—	10N	83W
-4284	9	26	07	38	55	0	P	—	—	12S	91E
-4283	3	22	08	52	22	0	T	—	—	13N	79W
-4283	9	15	22	10	07	0	T	—	—	16S	69W
-4282	3	11	14	20	41	0	P	—	—	16N	15W
-4282	9	05	07	20	12	0	P	—	—	18S	55E
-4281	1	30	18	44	21	0	Pen	—	—	25N	20E
-4281	3	01	02	51	47	0	Pen	—	—	18N	169E
-4281	8	25	09	24	11	0	Pen	—	—	20S	74E
-4280	1	20	11	16	39	0	P	—	—	25N	110W
-4280	7	14	17	13	03	0	P	—	—	24S	154E
-4279	1	09	00	55	09	0	T	—	—	23N	90E
-4279	7	04	01	49	35	0	T	—	—	22S	82W
-4279	12	29	07	45	41	0	P	—	—	21N	176W
-4278	6	23	16	42	23	0	P	—	—	19S	133E
-4278	11	18	13	14	44	0	Pen	—	—	11N	142W
-4278	12	18	08	05	51	0	Pen	—	—	18N	173E
-4277	5	15	02	10	10	0	Pen	—	—	8S	132W
-4277	6	13	09	41	11	0	Pen	—	—	16S	17E
-4277	11	07	16	14	09	0	P	—	—	6N	108W
-4276	5	03	13	53	54	0	T	—	—	3S	38E
-4276	10	27	02	29	36	0	T	—	—	1N	32E
-4275	4	22	18	27	12	0	T	—	—	2N	87E
-4275	10	16	17	25	52	0	P	—	—	4S	114W
-4274	4	11	19	06	57	0	Pen	—	—	7N	91E
-4274	9	06	20	10	36	0	Pen	—	—	17S	108W
-4274	10	06	08	29	11	0	Pen	—	—	9S	101E
-4273	3	02	12	39	01	0	P	—	—	18N	39W
-4273	8	27	03	21	18	0	P	—	—	20S	14W
-4272	2	20	02	38	58	0	T	—	—	21N	160E
-4272	8	15	04	03	30	0	T	—	—	23S	10W
-4271	2	08	19	26	58	0	P	—	—	24N	30E
-4271	8	04	04	23	48	0	P	—	—	24S	21W
-4271	12	30	22	33	44	0	Pen	—	—	21N	50E
-4270	1	29	10	23	13	0	Pen	—	—	25N	116W
-4270	6	25	00	49	40	0	Pen	—	—	19S	106W
-4270	7	24	11	02	58	0	Pen	—	—	25S	73E
-4270	12	20	03	09	12	0	P	—	—	19N	99E
-4269	6	14	16	50	26	0	P	—	—	17S	123E
-4269	12	09	02	34	30	0	T	—	—	17N	88E
-4268	6	03	09	38	09	0	T	—	—	14S	8E
-4268	11	27	04	14	44	0	P	—	—	13N	92E
-4267	5	23	22	35	54	0	P	—	—	11S	167W
-4267	10	18	01	00	37	0	Pen	—	—	4S	8E
-4267	11	16	12	59	45	0	Pen	—	—	10N	143W
-4266	4	13	14	21	07	0	Pen	—	—	6N	18E
-4266	10	07	16	28	50	0	P	—	—	8S	138W
-4265	4	02	15	15	07	0	T	—	—	10N	21E
-4265	9	27	06	44	29	0	T	—	—	12S	77E
-4264	3	21	21	16	33	0	T	—	—	13N	101E
-4264	9	15	15	25	03	0	P	—	—	15S	174W
-4263	2	10	02	35	13	0	Pen	—	—	24N	151E
-4263	3	11	10	17	19	0	Pen	—	—	15N	75W
-4263	9	04	17	02	15	0	Pen	—	—	18S	155W
-4262	1	30	19	15	35	0	P	—	—	25N	21E
-4262	7	26	00	32	32	0	P	—	—	25S	75W
-4261	1	20	08	44	35	0	T	—	—	24N	140W
-4261	7	15	09	27	21	0	T	—	—	24S	34E
-4260	1	09	15	17	25	0	P	—	—	23N	61W
-4260	7	04	00	26	55	0	P	—	—	21S	112W
-4260	11	28	21	10	04	0	Pen	—	—	15N	11W
-4260	12	28	15	35	16	0	Pen	—	—	20N	57W
-4259	5	25	09	22	01	0	Pen	—	—	12S	16W
-4259	6	23	17	15	21	0	Pen	—	—	18S	133E
-4259	11	18	00	36	34	0	P	—	—	10N	38E
-4258	5	14	20	35	31	0	P	—	—	8S	153E
-4258	11	07	11	16	22	0	T	—	—	5N	177E
-4257	5	04	00	39	53	0	T	—	—	3S	157W
-4257	10	28	02	20	32	0	P	—	—	0N	32E
-4256	4	22	01	21	12	0	Pen	—	—	2N	169W
-4256	9	17	04	34	01	0	Pen	—	—	13S	37E
-4256	10	16	17	14	29	0	Pen	—	—	5S	113W
-4255	3	12	19	48	25	0	P	—	—	15N	77E
-4255	9	06	11	12	28	0	P	—	—	18S	117E
-4254	3	02	10	15	01	0	T	—	—	19N	84W
-4254	8	26	11	31	03	0	T	—	—	21S	121E
-4253	2	20	03	12	23	0	P	—	—	22N	161E
