-3961	11	24	08	44	05	105378	T	210.2	31.3	12N	52W
-3960	5	19	01	07	01	105361	P	185.3	—	9S	61E
-3960	11	12	07	56	16	105343	Pen	—	—	7N	40W
-3959	4	09	10	37	33	105329	Pen	—	—	4N	78W
-3959	5	08	18	13	02	105326	Pen	—	—	5S	165E
-3959	10	02	17	39	26	105312	Pen	—	—	7S	175E
-3958	3	29	20	53	48	105294	P	187.6	—	9N	129E
-3958	9	22	05	34	07	105277	T	190.4	25.2	12S	3W
-3957	3	19	00	01	27	105260	T	231.3	96.1	14N	83E
-3957	9	11	21	11	28	105242	T	205.9	87.3	16S	123E
-3956	3	07	00	36	01	105225	P	76.8	—	18N	75E
-3956	8	31	11	51	02	105208	P	89.4	—	20S	98W
-3955	1	25	18	53	41	105193	Pen	—	—	23N	158E
-3955	7	22	05	56	08	105176	Pen	—	—	23S	12W
-3954	1	15	09	24	06	105158	T	200.6	72.3	24N	60W
-3954	7	11	06	23	13	105141	P	209.2	—	23S	20W
-3953	1	05	01	39	42	105124	T	198.0	62.6	24N	54E
-3953	6	30	08	16	18	105106	T	219.6	80.0	22S	49W
-3953	12	25	14	59	34	105089	Pen	—	—	22N	147W
-3952	5	20	08	42	31	105075	Pen	—	—	9S	54W
-3952	6	18	17	07	46	105072	Pen	—	—	20S	177E
-3952	11	14	03	22	11	105057	Pen	—	—	8N	27E
-3951	5	10	01	33	36	105040	P	135.7	—	6S	54E
-3951	11	03	02	18	45	105023	P	208.9	—	4N	43E
-3950	4	29	18	08	10	105005	T	216.0	100.4	2S	166E
-3950	10	23	05	21	15	104988	T	217.2	84.3	0S	2W
-3949	4	19	05	56	15	104971	P	151.5	—	1N	11W
-3949	10	12	15	43	56	104953	P	91.1	—	4S	158W
-3948	3	08	19	36	00	104939	Pen	—	—	17N	149E
-3948	4	07	10	30	18	104936	Pen	—	—	5N	78W
-3948	9	01	20	24	59	104922	Pen	—	—	20S	133E
-3948	10	01	06	46	28	104919	Pen	—	—	8S	23W
-3947	2	25	20	48	34	104904	P	198.2	—	20N	130E
-3947	8	22	10	02	34	104887	T	196.0	20.0	22S	72W
-3946	2	15	04	01	50	104870	T	214.0	85.3	21N	21E
-3946	8	11	17	23	18	104852	T	221.5	83.0	23S	176E
-3945	2	04	17	48	02	104835	P	71.3	—	22N	174E
-3945	7	31	18	18	47	104818	Pen	—	—	23S	161E
-3945	12	27	00	48	51	104803	P	62.7	—	23N	65E
-3944	6	20	05	22	28	104786	Pen	—	—	21S	8W
-3944	12	15	12	25	04	104768	T	213.4	77.5	20N	110W
-3943	6	09	16	20	21	104751	T	206.1	75.3	17S	172W
-3943	12	04	16	40	58	104734	T	211.4	36.1	16N	174W
-3942	5	30	08	31	32	104717	T	192.6	46.8	13S	54W
-3942	11	23	15	52	34	104699	Pen	—	—	11N	162W
-3941	4	20	17	42	15	104685	Pen	—	—	0N	172E
-3941	5	20	01	28	44	104682	Pen	—	—	9S	52E
-3941	10	14	02	09	51	104667	Pen	—	—	3S	45E
-3940	4	09	03	32	11	104650	P	173.5	—	5N	25E
-3940	10	02	14	19	33	104633	T	190.1	25.4	8S	137W
-3939	3	29	06	20	53	104615	T	234.6	103.4	10N	16W
-3939	9	22	05	54	32	104598	T	206.2	87.8	13S	11W
-3938	3	18	07	07	52	104581	P	117.1	—	14N	26W
-3938	9	11	20	15	32	104563	P	92.8	—	17S	134E
-3937	2	06	02	36	00	104549	Pen	—	—	22N	41E
-3937	8	02	13	09	12	104532	Pen	—	—	23S	122W
-3936	1	26	17	31	53	104514	T	198.0	65.2	24N	176E
-3936	7	21	13	16	41	104497	P	201.5	—	24S	125W
-3935	1	15	09	55	06	104480	T	200.5	69.0	24N	71W
-3935	7	10	15	20	21	104462	T	222.7	89.5	23S	157W
-3934	1	04	23	05	37	104445	Pen	—	—	24N	90E
-3934	6	30	00	31	55	104428	P	72.0	—	22S	64E
-3934	11	25	11	19	29	104413	Pen	—	—	12N	95W
-3933	5	21	08	56	48	104396	P	115.3	—	9S	61W
-3933	11	14	10	20	46	104379	P	208.4	—	8N	80W
-3932	5	10	01	18	27	104361	T	215.0	97.4	6S	54E
-3932	11	02	13	48	12	104344	T	216.6	84.0	5N	132W
-3931	4	29	12	37	47	104327	P	169.7	—	3S	115W
-3931	10	23	00	31	06	104309	P	91.0	—	1N	67E
-3930	3	20	01	59	05	104295	Pen	—	—	14N	50E
-3930	4	18	16	46	10	104292	Pen	—	—	1N	176W
-3930	9	13	05	00	50	104278	Pen	—	—	17S	2E
-3930	10	12	15	38	39	104275	Pen	—	—	3S	160W
-3929	3	09	03	32	50	104260	P	187.2	—	17N	26E
-3929	9	02	18	14	38	104243	P	194.3	—	19S	163E
-3928	2	26	11	23	19	104226	T	216.5	92.5	19N	91W
-3928	8	22	00	59	44	104208	T	223.6	87.4	21S	60E
-3927	2	15	01	37	03	104191	P	95.8	—	21N	54E
-3927	8	11	01	31	15	104174	P	50.2	—	22S	51E
-3926	1	06	09	07	37	104159	P	43.4	—	24N	61W
-3926	7	01	12	27	20	104142	Pen	—	—	23S	116W
-3926	12	26	20	31	26	104125	T	212.9	74.3	22N	127E
-3925	6	20	23	45	03	104107	T	200.6	60.7	20S	74E
-3925	12	16	00	30	55	104090	T	213.1	43.3	19N	66E
-3924	6	09	16	01	30	104073	T	198.2	66.4	16S	170W
-3924	12	03	23	45	39	104055	Pen	—	—	15N	77E
-3923	5	01	00	44	34	104041	Pen	—	—	4S	62E
-3923	5	30	08	45	52	104038	Pen	—	—	12S	60W
-3923	10	24	10	43	42	104024	Pen	—	—	2N	87W
-3922	4	20	10	06	20	104006	P	155.0	—	1N	77W
-3922	10	13	23	08	13	103989	T	190.0	27.3	4S	87E
-3921	4	09	12	36	39	103972	T	236.1	106.6	6N	113W
-3921	10	03	14	42	12	103954	T	206.3	87.9	9S	146W
-3920	3	28	13	37	21	103937	P	144.9	—	10N	127W
-3920	9	22	04	44	46	103920	P	94.1	—	13S	4E
-3919	2	16	10	11	49	103905	Pen	—	—	20N	75W
-3919	3	17	20	02	42	103902	Pen	—	—	15N	137E
-3919	8	12	20	31	05	103888	Pen	—	—	22S	125E
-3918	2	06	01	29	31	103871	T	194.5	53.8	23N	55E
