Year	Month	Day	Hour	Minute	Second	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-12955	5	21	14	17	05	T	—	—	16N	141E
-12955	11	14	14	06	17	P	—	—	15S	40W
-12954	5	11	03	09	56	P	—	—	18N	131E
-12954	10	05	11	47	11	Pen	—	—	26S	81W
-12954	11	03	22	26	49	Pen	—	—	18S	51W
-12953	3	31	17	53	13	Pen	—	—	26N	89E
-12953	4	30	09	19	00	Pen	—	—	20N	119E
-12953	9	25	03	19	52	P	—	—	25S	93W
-12952	3	19	18	20	52	P	—	—	25N	77E
-12952	9	13	18	23	28	T	—	—	24S	105W
-12951	3	08	23	28	19	T	—	—	23N	65E
-12951	9	03	04	25	23	P	—	—	22S	117W
-12950	2	26	11	51	30	P	—	—	20N	55E
-12950	8	23	07	03	04	Pen	—	—	19S	128W
-12949	1	17	22	18	37	P	—	—	9N	17E
-12949	2	16	04	40	47	Pen	—	—	16N	45E
-12949	7	13	11	26	26	P	—	—	6S	170W
-12948	1	07	13	11	25	T	—	—	4N	8E
-12948	7	01	18	10	04	T	—	—	1S	180W
-12948	12	26	21	36	08	P	—	—	1S	1W
-12947	6	21	07	28	33	P	—	—	4N	171E
-12947	11	16	07	34	53	Pen	—	—	14S	38W
-12947	12	15	23	24	00	Pen	—	—	6S	11W
-12946	5	12	13	19	55	Pen	—	—	17N	132E
-12946	6	10	23	19	49	Pen	—	—	9N	161E
-12946	11	05	10	45	33	P	—	—	18S	49W
-12945	5	02	00	40	19	P	—	—	20N	122E
-12945	10	25	20	59	34	T	—	—	21S	60W
-12944	4	20	04	55	12	T	—	—	23N	110E
-12944	10	14	12	15	07	P	—	—	24S	71W
-12943	4	09	05	04	24	P	—	—	25N	98E
-12943	9	04	16	26	41	Pen	—	—	21S	115W
-12943	10	04	04	04	56	Pen	—	—	26S	83W
-12942	2	27	21	43	11	Pen	—	—	20N	57E
-12942	3	29	08	32	03	Pen	—	—	26N	86E
-12942	8	25	00	22	36	P	—	—	20S	127W
-12941	2	17	11	47	19	P	—	—	18N	46E
-12941	8	14	01	11	51	T	—	—	17S	138W
-12940	2	07	05	04	07	T	—	—	15N	36E
-12940	8	02	00	25	37	P	—	—	14S	150W
-12939	1	26	20	53	05	P	—	—	13N	26E
-12939	6	22	15	58	19	Pen	—	—	5N	173E
-12939	7	22	05	17	31	Pen	—	—	10S	161W
-12939	12	17	18	02	18	P	—	—	5S	9W
-12938	6	12	06	33	24	P	—	—	8N	163E
-12938	12	06	18	45	47	T	—	—	8S	19W
-12937	6	01	22	22	56	T	—	—	12N	152E
-12937	11	25	20	57	07	P	—	—	12S	30W
-12936	5	21	10	46	07	P	—	—	15N	142E
-12936	10	15	19	51	01	Pen	—	—	24S	69W
-12936	11	14	05	55	06	Pen	—	—	15S	40W
-12935	4	11	00	17	08	Pen	—	—	26N	100E
-12935	5	10	16	18	28	Pen	—	—	18N	130E
-12935	10	05	11	39	33	P	—	—	25S	81W
-12934	3	31	00	42	28	P	—	—	25N	88E
-12934	9	25	02	42	43	T	—	—	25S	93W
-12933	3	20	06	10	30	T	—	—	24N	77E
-12933	9	14	12	28	22	P	—	—	23S	105W
-12932	3	08	18	54	08	P	—	—	22N	66E
-12932	9	02	14	49	03	Pen	—	—	21S	117W
-12931	1	28	05	21	07	Pen	—	—	13N	27E
-12931	2	26	11	48	02	Pen	—	—	19N	55E
-12931	7	23	19	27	59	P	—	—	10S	159W
-12930	1	17	19	57	12	T	—	—	9N	18E
-12930	7	13	02	32	12	T	—	—	6S	169W
-12929	1	07	03	55	26	T	—	—	4N	9E
-12929	7	02	16	00	28	P	—	—	0S	179W
-12929	12	27	05	31	03	Pen	—	—	1S	1W
-12928	5	22	21	13	23	Pen	—	—	14N	143E
-12928	6	21	07	43	58	Pen	—	—	5N	172E
-12928	11	15	17	53	48	P	—	—	15S	38W
-12927	5	12	07	59	57	P	—	—	18N	132E
-12927	11	05	04	43	06	T	—	—	19S	48W
-12926	5	01	11	39	33	T	—	—	21N	122E
-12926	10	25	20	19	58	P	—	—	22S	60W
-12925	4	20	11	36	48	P	—	—	24N	110E
-12925	9	16	00	46	04	Pen	—	—	23S	103W
-12925	10	15	12	12	23	Pen	—	—	25S	71W
-12924	3	10	04	29	51	Pen	—	—	22N	67E
-12924	4	08	15	21	44	Pen	—	—	25N	98E
-12924	9	04	08	21	41	P	—	—	22S	115W
-12923	2	27	18	51	59	P	—	—	20N	57E
-12923	8	24	08	58	33	T	—	—	20S	127W
-12922	2	17	12	09	21	T	—	—	19N	46E
-12922	8	13	08	23	08	P	—	—	17S	139W
-12921	2	07	03	40	53	P	—	—	16N	36E
-12921	7	04	00	22	10	Pen	—	—	0N	177W
-12921	8	02	13	40	22	Pen	—	—	14S	150W
-12921	12	29	00	17	08	Pen	—	—	0S	1E
-12920	6	22	15	01	17	P	—	—	4N	173E
-12920	12	17	00	59	45	T	—	—	4S	9W
-12919	6	12	06	37	09	T	—	—	8N	163E
-12919	12	06	03	41	19	P	—	—	8S	19W
-12918	6	01	18	30	31	P	—	—	11N	152E
-12918	10	27	03	48	23	Pen	—	—	22S	57W
-12918	11	25	13	16	53	Pen	—	—	11S	30W
-12917	5	21	23	25	26	Pen	—	—	15N	141E
-12917	10	16	19	52	19	P	—	—	24S	69W
-12916	4	10	07	12	08	P	—	—	25N	100E
-12916	10	05	10	53	02	T	—	—	24S	81W
-12915	3	30	13	02	03	T	—	—	25N	88E
-12915	9	24	20	23	16	P	—	—	24S	93W
-12914	3	20	02	03	50	P	—	—	23N	77E
-12914	9	13	22	28	59	Pen	—	—	23S	105W
-12913	2	08	12	23	45	Pen	—	—	17N	37E
-12913	3	09	18	59	36	Pen	—	—	21N	66E
-12913	8	04	03	32	23	P	—	—	15S	148W
-12912	1	29	02	38	23	T	—	—	13N	28E
-12912	7	23	10	59	13	T	—	—	10S	159W
-12911	1	17	10	08	41	T	—	—	8N	18E
-12911	7	13	00	37	43	P	—	—	5S	169W
-12910	1	06	11	33	04	Pen	—	—	3N	9E
-12910	6	03	05	15	56	Pen	—	—	10N	153E
-12910	7	02	16	15	01	Pen	—	—	0N	179W
-12910	11	27	00	53	42	P	—	—	11S	28W
-12909	5	23	15	27	56	P	—	—	14N	143E
-12909	11	16	12	17	51	T	—	—	15S	38W
-12908	5	11	18	33	33	T	—	—	18N	133E
-12908	11	05	04	14	09	P	—	—	19S	48W
-12907	4	30	18	20	52	P	—	—	22N	121E
-12907	9	26	08	58	16	Pen	—	—	23S	91W
-12907	10	25	20	10	36	Pen	—	—	23S	59W
-12906	3	21	11	23	08	Pen	—	—	23N	78E
-12906	4	19	22	21	04	Pen	—	—	24N	109E
-12906	9	15	16	15	27	P	—	—	23S	103W
-12905	3	11	02	00	05	P	—	—	22N	68E
