Year	Month	Day	Hour	Minute	Second	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-10274	4	19	22	12	17	P	—	—	18N	130E
-10274	9	14	04	20	29	Pen	—	—	26S	84W
-10274	10	13	15	56	00	Pen	—	—	18S	53W
-10273	3	10	12	52	16	Pen	—	—	26N	89E
-10273	4	09	03	21	44	Pen	—	—	20N	119E
-10273	9	03	19	49	35	P	—	—	25S	96W
-10272	2	27	14	02	41	P	—	—	24N	77E
-10272	8	23	09	44	29	T	—	—	23S	108W
-10271	2	15	20	50	12	T	—	—	22N	66E
-10271	8	12	17	45	27	P	—	—	21S	120W
-10270	1	07	03	34	59	Pen	—	—	13N	27E
-10270	2	05	10	32	35	Pen	—	—	20N	56E
-10270	8	01	18	45	30	Pen	—	—	18S	131W
-10270	12	27	20	28	27	P	—	—	9N	18E
-10269	6	22	01	29	51	P	—	—	5S	172W
-10269	12	17	09	50	15	T	—	—	4N	9E
-10268	6	10	10	38	29	T	—	—	0N	179E
-10268	12	05	16	06	31	P	—	—	1S	1W
-10267	5	31	01	37	20	P	—	—	5N	169E
-10267	10	25	22	59	48	Pen	—	—	15S	40W
-10267	11	24	16	28	42	Pen	—	—	6S	11W
-10266	4	21	09	22	01	Pen	—	—	17N	131E
-10266	5	20	18	02	44	Pen	—	—	10N	160E
-10266	10	15	03	07	37	P	—	—	19S	51W
-10265	4	10	19	48	25	P	—	—	21N	121E
-10265	10	04	14	20	23	T	—	—	22S	62W
-10264	3	29	23	11	54	T	—	—	23N	110E
-10264	9	23	05	38	06	P	—	—	24S	73W
-10263	3	18	23	53	05	P	—	—	25N	98E
-10263	8	14	07	13	43	Pen	—	—	20S	118W
-10263	9	12	20	22	59	Pen	—	—	26S	86W
-10262	2	06	19	37	20	Pen	—	—	20N	57E
-10262	8	03	13	08	15	P	—	—	18S	130W
-10261	1	27	10	41	05	T	—	—	18N	47E
-10261	7	23	12	55	00	T	—	—	16S	141W
-10260	1	17	03	54	08	P	—	—	16N	36E
-10260	7	11	13	18	20	P	—	—	12S	153W
-10260	12	07	07	32	18	Pen	—	—	1S	1E
-10259	1	05	18	35	51	Pen	—	—	13N	26E
-10259	6	01	09	25	37	Pen	—	—	6N	171E
-10259	6	30	20	29	54	Pen	—	—	9S	164W
-10259	11	26	11	39	07	P	—	—	5S	9W
-10258	5	22	01	23	22	P	—	—	9N	161E
-10258	11	15	11	23	51	T	—	—	9S	20W
-10257	5	11	17	28	27	T	—	—	13N	151E
-10257	11	04	14	14	55	P	—	—	12S	31W
-10256	4	30	05	07	35	P	—	—	15N	141E
-10256	9	24	13	01	55	Pen	—	—	25S	72W
-10256	10	24	00	13	06	Pen	—	—	15S	42W
-10255	3	20	18	52	42	Pen	—	—	25N	100E
-10255	4	19	09	41	54	Pen	—	—	18N	130E
-10255	9	14	04	36	20	P	—	—	25S	83W
-10254	3	09	20	14	47	P	—	—	25N	88E
-10254	9	03	18	19	09	T	—	—	24S	96W
-10253	2	27	03	32	49	T	—	—	24N	77E
-10253	8	24	01	55	46	P	—	—	23S	108W
-10252	1	18	10	56	38	Pen	—	—	17N	37E
-10252	2	16	17	38	24	P	—	—	22N	67E
-10252	8	12	02	35	39	Pen	—	—	20S	120W
-10251	1	07	03	52	07	P	—	—	13N	28E
-10251	7	02	09	14	58	P	—	—	9S	162W
-10251	12	27	16	59	39	T	—	—	8N	18E
-10250	6	21	18	39	36	T	—	—	4S	171W
-10250	12	16	22	57	38	P	—	—	3N	9E
-10249	6	11	09	40	01	P	—	—	1N	179E
-10249	11	06	06	26	38	Pen	—	—	11S	29W
-10249	12	05	23	20	15	Pen	—	—	2S	1W
-10248	5	01	16	37	20	Pen	—	—	14N	142E
-10248	5	31	01	50	52	Pen	—	—	6N	170E
-10248	10	25	11	08	00	P	—	—	15S	40W
-10247	4	21	02	27	53	P	—	—	18N	132E
-10247	10	14	22	49	26	T	—	—	19S	50W
-10246	4	10	05	22	42	T	—	—	21N	121E
-10246	10	04	14	19	14	P	—	—	22S	62W
-10245	3	30	06	04	53	P	—	—	24N	110E
-10245	8	25	15	41	54	Pen	—	—	22S	106W
-10245	9	24	04	59	31	Pen	—	—	25S	73W
-10244	2	18	02	28	36	Pen	—	—	22N	68E
-10244	3	18	11	47	02	Pen	—	—	26N	98E
-10244	8	13	21	08	47	P	—	—	21S	118W
-10243	2	06	17	53	13	T	—	—	21N	57E
-10243	8	02	20	39	41	T	—	—	19S	130W
-10242	1	27	11	09	36	T	—	—	19N	47E
-10242	7	22	21	12	31	P	—	—	16S	142W
-10242	12	18	14	42	08	Pen	—	—	3N	11E
-10241	1	17	01	38	03	Pen	—	—	16N	36E
-10241	6	12	17	22	59	Pen	—	—	1N	179W
-10241	7	12	04	41	39	Pen	—	—	13S	153W
-10241	12	07	18	32	32	P	—	—	0S	1E
-10240	6	01	09	18	51	P	—	—	5N	171E
-10240	11	25	18	25	20	T	—	—	5S	10W
-10239	5	22	01	04	30	T	—	—	8N	161E
-10239	11	14	21	51	07	P	—	—	8S	20W
-10238	5	11	12	09	04	P	—	—	12N	151E
-10238	10	05	21	39	36	Pen	—	—	23S	59W
-10238	11	04	08	23	25	Pen	—	—	12S	31W
-10237	4	01	00	56	26	Pen	—	—	24N	112E
-10237	4	30	16	08	06	Pen	—	—	15N	140E
-10237	9	25	13	21	21	P	—	—	24S	72W
-10236	3	20	02	28	36	P	—	—	25N	100E
-10236	9	14	02	53	05	T	—	—	24S	83W
-10235	3	09	10	16	53	T	—	—	24N	88E
-10235	9	03	10	05	31	P	—	—	24S	96W
-10234	2	27	00	44	47	P	—	—	23N	78E
-10234	8	23	10	28	07	Pen	—	—	22S	109W
-10233	1	18	11	10	10	P	—	—	17N	38E
-10233	7	13	17	08	52	P	—	—	13S	151W
-10232	1	08	00	00	43	T	—	—	12N	28E
-10232	7	02	02	50	12	T	—	—	9S	161W
-10232	12	27	05	36	40	P	—	—	8N	19E
-10231	6	21	17	52	48	T	—	—	4S	171W
-10231	11	16	13	42	57	Pen	—	—	7S	19W
-10231	12	16	06	00	51	Pen	—	—	3N	9E
-10230	5	13	00	00	34	Pen	—	—	10N	152E
-10230	6	11	09	48	14	Pen	—	—	1N	180E
-10230	11	05	19	00	02	P	—	—	12S	29W
-10229	5	02	09	14	24	P	—	—	15N	142E
-10229	10	26	07	11	42	T	—	—	16S	39W
-10228	4	20	11	38	24	T	—	—	19N	132E
-10228	10	14	22	54	20	P	—	—	20S	50W
-10227	4	09	12	22	19	P	—	—	22N	120E
-10227	9	05	00	09	47	Pen	—	—	23S	94W
-10227	10	04	13	30	17	Pen	—	—	23S	61W
-10226	2	28	09	20	00	Pen	—	—	23N	79E
-10226	3	29	18	29	22	Pen	—	—	25N	109E
-10226	8	25	05	11	54	P	—	—	23S	106W
-10225	2	18	01	03	04	T	—	—	22N	68E
-10225	8	14	04	29	34	T	—	—	22S	119W
-10224	2	07	18	20	09	T	—	—	21N	57E
-10224	8	02	05	14	29	P	—	—	19S	131W
-10224	12	28	21	40	27	Pen	—	—	8N	21E
-10223	1	27	08	31	37	Pen	—	—	20N	47E
-10223	6	23	01	30	17	Pen	—	—	3S	169W
-10223	7	22	13	02	12	Pen	—	—	17S	142W
-10223	12	18	01	15	27	P	—	—	4N	10E
-10222	6	12	17	22	50	P	—	—	1N	179W
-10222	12	07	01	19	11	T	—	—	0S	0W
-10221	6	02	08	48	20	T	—	—	4N	171E
-10221	11	26	05	19	32	P	—	—	4S	11W
-10220	5	21	19	17	11	P	—	—	8N	161E
-10220	10	16	06	11	05	Pen	—	—	20S	48W
-10220	11	14	16	25	14	Pen	—	—	8S	21W
-10219	4	11	07	05	57	Pen	—	—	22N	123E
-10219	5	10	22	42	48	Pen	—	—	11N	151E
-10219	10	05	21	59	36	P	—	—	22S	59W
-10218	3	31	08	49	46	P	—	—	24N	111E
-10218	9	25	11	22	16	T	—	—	23S	71W
-10217	3	20	17	04	50	T	—	—	24N	100E
-10217	9	14	18	12	57	P	—	—	24S	84W
-10216	3	09	07	51	18	P	—	—	24N	89E
-10216	9	02	18	21	53	Pen	—	—	23S	96W
-10215	1	28	18	19	17	P	—	—	20N	48E
-10215	2	27	01	12	51	Pen	—	—	22N	78E
-10215	7	24	01	13	17	P	—	—	17S	140W
-10214	1	18	06	51	41	T	—	—	16N	38E
-10214	7	13	11	10	01	T	—	—	13S	151W
-10213	1	07	12	06	54	P	—	—	12N	28E
-10213	7	03	02	14	12	T	—	—	8S	161W
-10213	11	27	20	51	21	Pen	—	—	2S	9W
-10213	12	27	12	32	49	Pen	—	—	7N	19E
-10212	5	23	07	29	25	Pen	—	—	6N	162E
-10212	6	21	17	53	13	Pen	—	—	3S	170W
-10212	11	16	02	45	18	P	—	—	7S	19W
-10211	5	12	16	06	31	P	—	—	11N	152E
-10211	11	05	15	26	12	T	—	—	12S	29W
-10210	5	01	18	02	00	T	—	—	15N	142E
-10210	10	26	07	22	56	P	—	—	17S	39W
-10209	4	20	18	47	31	P	—	—	19N	132E
-10209	9	16	08	34	56	Pen	—	—	23S	81W
-10209	10	15	21	54	25	Pen	—	—	20S	49W
-10208	3	10	16	14	09	Pen	—	—	23N	90E
-10208	4	09	01	18	37	Pen	—	—	23N	121E
-10208	9	04	13	13	35	P	—	—	24S	94W
-10207	2	28	08	12	11	T	—	—	24N	79E
-10207	8	24	12	22	19	T	—	—	23S	107W
-10206	2	18	01	27	41	T	—	—	23N	68E
-10206	8	13	13	21	47	P	—	—	22S	119W
-10205	2	07	15	19	43	Pen	—	—	22N	57E
-10205	7	04	09	47	48	Pen	—	—	8S	159W
-10205	8	02	21	30	23	Pen	—	—	20S	131W
-10205	12	29	07	46	33	P	—	—	8N	20E
-10204	6	23	01	36	11	P	—	—	4S	169W
-10204	12	17	08	02	23	T	—	—	4N	10E
-10203	6	12	16	40	48	T	—	—	0S	179W
-10203	12	06	12	39	01	P	—	—	1N	0W
-10202	6	02	02	33	47	P	—	—	3N	171E
-10202	10	27	14	37	06	Pen	—	—	17S	37W
-10202	11	26	00	20	09	Pen	—	—	3S	11W
-10201	4	22	13	20	38	Pen	—	—	20N	134E
-10201	5	22	05	24	25	Pen	—	—	7N	160E
-10201	10	17	06	33	15	P	—	—	19S	48W
-10200	4	10	15	16	24	P	—	—	22N	122E
-10200	10	05	19	45	59	T	—	—	21S	59W
-10199	3	30	23	57	50	T	—	—	23N	111E
-10199	9	25	02	16	13	P	—	—	23S	72W
-10198	3	20	15	01	35	P	—	—	23N	100E
-10198	9	14	02	13	29	Pen	—	—	23S	84W
-10197	2	09	01	25	40	P	—	—	22N	59E
-10197	3	10	08	21	59	Pen	—	—	23N	89E
-10197	8	04	09	24	28	P	—	—	20S	129W
-10196	1	29	13	34	53	T	—	—	19N	49E
-10196	7	23	19	37	55	T	—	—	17S	140W
-10195	1	17	18	27	04	P	—	—	15N	38E
-10195	7	13	10	43	49	T	—	—	12S	150W
-10194	1	06	18	56	00	Pen	—	—	11N	28E
-10194	6	03	15	07	46	Pen	—	—	2N	172E
-10194	7	03	02	07	09	Pen	—	—	8S	160W
-10194	11	27	10	22	04	P	—	—	3S	9W
-10193	5	23	23	06	08	P	—	—	7N	162E
-10193	11	16	23	32	38	T	—	—	8S	18W
-10192	5	12	00	33	41	T	—	—	12N	153E
-10192	11	05	15	42	02	P	—	—	13S	28W
-10191	5	01	01	22	04	P	—	—	16N	142E
-10191	9	26	16	56	03	Pen	—	—	22S	69W
-10191	10	26	06	10	04	Pen	—	—	17S	38W
-10190	3	21	23	11	28	Pen	—	—	23N	102E
-10190	4	20	08	15	47	Pen	—	—	20N	131E
-10190	9	15	21	13	23	P	—	—	23S	82W
-10189	3	11	15	22	01	P	—	—	24N	91E
-10189	9	04	20	17	22	T	—	—	24S	94W
-10188	2	29	08	31	29	T	—	—	24N	80E
-10188	8	23	21	34	07	P	—	—	24S	107W
-10187	2	17	22	02	12	P	—	—	24N	69E
-10187	7	14	18	13	23	Pen	—	—	12S	149W
-10187	8	13	06	03	27	Pen	—	—	23S	119W
-10186	1	08	14	09	27	P	—	—	12N	30E
-10186	7	04	09	57	44	P	—	—	8S	159W
-10186	12	28	14	39	24	T	—	—	8N	20E
-10185	6	24	00	40	19	T	—	—	5S	169W
-10185	12	17	19	52	01	P	—	—	5N	9E
-10184	6	12	09	58	36	P	—	—	1S	179W
-10184	11	06	22	53	28	Pen	—	—	13S	26W
-10184	12	06	08	05	08	Pen	—	—	1N	1W
-10183	6	01	12	17	08	Pen	—	—	3N	170E
-10183	10	27	14	57	41	P	—	—	16S	37W
-10182	4	21	21	53	08	P	—	—	19N	133E
-10182	10	17	04	01	20	T	—	—	19S	48W
-10181	4	11	06	58	10	T	—	—	21N	122E
-10181	10	06	10	13	17	P	—	—	21S	60W
-10180	3	30	22	13	43	P	—	—	22N	111E
-10180	9	24	10	03	04	Pen	—	—	22S	72W
-10179	2	19	08	25	52	Pen	—	—	24N	70E
-10179	3	20	15	30	23	Pen	—	—	23N	101E
-10179	8	14	17	42	00	P	—	—	23S	117W
-10178	2	08	20	11	02	T	—	—	22N	59E
-10178	8	04	04	13	09	T	—	—	20S	129W
-10177	1	29	00	40	19	T	—	—	19N	49E
-10177	7	24	19	19	55	T	—	—	16S	140W
-10176	1	18	01	13	26	Pen	—	—	15N	38E
-10176	7	13	10	27	50	Pen	—	—	12S	150W
-10176	12	07	17	50	38	P	—	—	1N	1E
-10175	6	03	06	13	49	P	—	—	3N	172E
-10175	11	27	07	31	17	T	—	—	4S	8W
-10174	5	23	07	14	52	T	—	—	8N	162E
-10174	11	16	23	53	13	P	—	—	8S	18W
-10173	5	12	08	07	26	P	—	—	12N	152E
-10173	10	08	01	10	42	Pen	—	—	20S	58W
-10173	11	06	14	16	22	Pen	—	—	13S	28W
-10172	4	01	06	13	40	Pen	—	—	21N	113E
-10172	4	30	15	21	53	Pen	—	—	17N	142E
-10172	9	26	05	08	18	P	—	—	22S	70W
-10171	3	21	22	34	27	P	—	—	23N	102E
-10171	9	15	04	09	59	T	—	—	24S	82W
-10170	3	11	15	35	34	T	—	—	25N	91E
-10170	9	04	05	48	28	P	—	—	25S	95W
-10169	3	01	04	40	48	P	—	—	25N	80E
-10169	7	26	02	46	53	Pen	—	—	15S	137W
-10169	8	24	14	40	33	Pen	—	—	25S	107W
-10168	1	19	20	23	16	Pen	—	—	15N	40E
-10168	7	14	18	27	30	P	—	—	12S	149W
-10167	1	07	21	07	11	T	—	—	12N	29E
-10167	7	04	08	48	54	T	—	—	9S	159W
-10167	12	28	02	57	50	P	—	—	9N	19E
-10166	6	23	17	31	20	P	—	—	6S	169W
-10166	11	18	07	02	55	Pen	—	—	9S	16W
-10166	12	17	15	43	46	Pen	—	—	6N	9E
-10165	6	12	19	19	11	Pen	—	—	1S	180W
-10165	11	07	23	14	47	P	—	—	12S	26W
-10164	5	02	04	37	46	P	—	—	16N	144E
-10164	10	27	12	08	38	T	—	—	15S	37W
-10163	4	21	14	06	08	T	—	—	18N	133E
-10163	10	16	18	01	52	P	—	—	18S	48W
-10162	4	11	05	32	29	P	—	—	20N	123E
-10162	10	05	17	47	19	Pen	—	—	20S	60W
-10161	3	02	15	24	28	Pen	—	—	25N	81E
-10161	3	31	22	41	13	Pen	—	—	21N	112E
-10161	8	26	02	02	41	P	—	—	25S	105W
-10160	2	20	02	42	25	T	—	—	24N	71E
-10160	8	14	12	52	42	T	—	—	22S	117W
-10159	2	08	06	46	56	T	—	—	21N	59E
-10159	8	04	04	02	12	T	—	—	19S	128W
-10158	1	28	07	25	49	Pen	—	—	18N	48E
-10158	7	24	18	54	51	Pen	—	—	15S	139W
-10158	12	19	01	12	00	P	—	—	6N	11E
-10157	6	14	13	31	00	P	—	—	2S	178W
-10157	12	08	15	20	35	T	—	—	1N	1E
-10156	6	02	14	06	25	T	—	—	3N	172E
-10156	11	27	07	54	11	P	—	—	4S	8W
-10155	5	22	15	04	10	P	—	—	8N	162E
-10155	10	18	09	17	16	Pen	—	—	17S	47W
-10155	11	16	22	12	00	Pen	—	—	9S	17W
-10154	4	12	13	22	30	Pen	—	—	19N	124E
-10154	5	11	22	38	29	Pen	—	—	13N	153E
-10154	10	07	12	58	36	P	—	—	20S	58W
-10153	4	02	05	49	03	P	—	—	22N	113E
-10153	9	26	12	01	26	T	—	—	23S	70W
-10152	3	21	22	39	21	T	—	—	24N	103E
-10152	9	14	14	03	07	P	—	—	25S	82W
-10151	3	11	11	17	39	P	—	—	25N	91E
-10151	8	05	11	26	09	Pen	—	—	18S	127W
-10151	9	03	23	19	14	Pen	—	—	25S	95W
-10150	1	30	02	32	38	Pen	—	—	18N	51E
-10150	7	26	03	02	52	P	—	—	16S	137W
-10149	1	19	03	31	58	T	—	—	16N	40E
-10149	7	15	17	04	07	T	—	—	13S	148W
-10148	1	08	09	57	27	T	—	—	13N	29E
-10148	7	04	01	12	43	P	—	—	10S	159W
-10148	11	28	15	02	26	Pen	—	—	4S	6W
-10148	12	27	23	14	12	Pen	—	—	10N	19E
-10147	6	23	02	32	03	Pen	—	—	6S	170W
-10147	11	18	07	20	38	P	—	—	8S	16W
-10146	5	13	11	35	05	P	—	—	12N	154E
-10146	11	07	20	05	42	T	—	—	11S	26W
-10145	5	02	21	22	10	T	—	—	15N	143E
-10145	10	28	01	41	39	P	—	—	15S	37W
-10144	4	21	12	56	18	P	—	—	18N	133E
-10144	10	16	01	24	31	Pen	—	—	18S	49W
-10143	3	12	22	20	38	Pen	—	—	26N	93E
-10143	4	11	05	55	06	Pen	—	—	20N	123E
-10143	9	05	10	26	15	P	—	—	25S	93W
-10142	3	02	09	10	22	P	—	—	25N	82E
-10142	8	25	21	35	25	T	—	—	24S	105W
-10141	2	19	12	50	32	T	—	—	23N	70E
-10141	8	15	12	48	48	T	—	—	22S	116W
-10140	2	08	13	34	10	Pen	—	—	20N	59E
-10140	8	04	03	27	04	Pen	—	—	19S	128W
-10140	12	29	08	26	52	P	—	—	10N	20E
-10139	6	24	20	56	06	Pen	—	—	7S	168W
-10139	12	18	23	02	41	T	—	—	5N	11E
-10138	6	13	21	08	55	T	—	—	1S	178W
-10138	12	08	15	46	56	P	—	—	0N	2E
-10137	6	02	22	12	00	T	—	—	4N	172E
-10137	10	29	17	14	29	Pen	—	—	13S	36W
-10137	11	28	05	57	07	Pen	—	—	5S	7W
-10136	4	22	20	38	58	Pen	—	—	16N	135E
-10136	5	22	06	05	54	Pen	—	—	9N	162E
-10136	10	17	20	38	49	P	—	—	17S	46W
-10135	4	12	13	09	33	P	—	—	20N	124E
-10135	10	06	19	46	59	T	—	—	21S	58W
-10134	4	02	05	46	01	T	—	—	23N	114E
-10134	9	25	22	15	10	P	—	—	24S	70W
-10133	3	22	17	54	14	P	—	—	25N	103E
-10133	8	16	20	11	02	Pen	—	—	21S	115W
-10133	9	15	07	58	13	Pen	—	—	25S	82W
-10132	2	10	08	34	13	Pen	—	—	21N	61E
-10132	3	10	22	54	28	Pen	—	—	26N	91E
-10132	8	05	11	45	01	P	—	—	19S	126W
-10131	1	29	09	50	15	T	—	—	19N	50E
-10131	7	26	01	25	58	T	—	—	17S	138W
-10130	1	18	16	52	19	T	—	—	16N	39E
-10130	7	15	09	01	43	P	—	—	14S	149W
-10130	12	09	22	54	46	Pen	—	—	0N	4E
-10129	1	08	06	38	52	Pen	—	—	14N	29E
-10129	7	04	09	53	25	Pen	—	—	10S	160W
-10129	11	29	15	18	25	P	—	—	4S	6W
-10128	5	23	18	42	11	Pen	—	—	8N	164E
-10128	11	18	03	51	50	T	—	—	7S	16W
-10127	5	13	04	48	17	T	—	—	11N	154E
-10127	11	07	09	11	13	P	—	—	11S	27W
-10126	5	02	20	27	36	T	—	—	15N	143E
-10126	10	27	08	54	05	Pen	—	—	14S	38W
-10125	3	24	05	18	31	Pen	—	—	25N	104E
-10125	4	22	13	14	18	Pen	—	—	17N	133E
-10125	9	16	18	48	57	P	—	—	25S	80W
-10124	3	12	15	35	51	P	—	—	25N	93E
-10124	9	05	06	19	26	T	—	—	25S	93W
-10123	3	01	18	51	33	T	—	—	24N	82E
-10123	8	25	21	37	09	T	—	—	23S	104W
-10122	2	18	19	41	39	P	—	—	22N	70E
-10122	8	15	12	03	27	Pen	—	—	21S	116W
-10121	1	09	15	35	25	P	—	—	14N	31E
-10121	7	06	04	30	08	Pen	—	—	11S	157W
-10121	12	30	06	36	34	T	—	—	10N	21E
-10120	6	24	04	22	39	T	—	—	6S	168W
-10120	12	18	23	28	45	T	—	—	5N	11E
-10119	6	13	05	32	47	T	—	—	1S	178W
-10119	11	09	01	02	03	Pen	—	—	9S	25W
-10119	12	08	13	31	43	Pen	—	—	0S	3E
-10118	5	04	04	03	30	Pen	—	—	13N	145E
-10118	6	02	13	43	40	Pen	—	—	4N	173E
-10118	10	29	04	12	00	P	—	—	14S	36W
-10117	4	23	20	35	05	P	—	—	17N	135E
-10117	10	18	03	27	21	T	—	—	18S	47W
-10116	4	12	12	54	43	T	—	—	20N	125E
-10116	10	06	06	24	20	P	—	—	22S	58W
-10115	4	02	00	32	15	P	—	—	23N	114E
-10115	8	27	04	57	12	Pen	—	—	22S	103W
-10115	9	25	16	34	19	Pen	—	—	24S	70W
-10114	2	20	14	35	13	Pen	—	—	22N	72E
-10114	3	22	05	01	40	Pen	—	—	25N	103E
-10114	8	16	20	30	11	P	—	—	22S	114W
-10113	2	09	16	07	23	P	—	—	21N	61E
-10113	8	06	09	51	59	T	—	—	20S	126W
-10112	1	29	23	43	43	T	—	—	19N	50E
-10112	7	25	16	56	55	P	—	—	18S	138W
-10112	12	20	06	37	00	Pen	—	—	5N	14E
-10111	1	18	13	56	55	P	—	—	17N	39E
-10111	7	14	17	24	51	Pen	—	—	14S	149W
-10111	12	09	23	05	25	P	—	—	1N	4E
-10110	6	04	02	01	49	Pen	—	—	4N	174E
-10110	11	29	11	26	35	T	—	—	3S	6W
-10109	5	24	12	24	46	T	—	—	8N	164E
-10109	11	18	16	28	42	P	—	—	7S	17W
-10108	5	13	04	06	31	T	—	—	11N	154E
-10108	11	06	16	14	26	Pen	—	—	10S	27W
-10107	4	03	12	17	16	Pen	—	—	24N	116E
-10107	5	02	20	39	15	Pen	—	—	14N	144E
-10107	9	27	03	09	47	P	—	—	24S	68W
-10106	3	23	22	01	29	P	—	—	24N	105E
-10106	9	16	15	03	35	T	—	—	24S	80W
-10105	3	13	00	51	24	T	—	—	24N	93E
-10105	9	06	06	26	55	T	—	—	24S	92W
-10104	3	01	01	48	51	P	—	—	23N	81E
-10104	8	25	20	40	59	Pen	—	—	23S	104W
-10103	1	19	22	39	30	Pen	—	—	18N	41E
-10103	2	18	07	57	38	Pen	—	—	22N	70E
-10103	7	16	12	11	39	Pen	—	—	15S	147W
-10102	1	09	14	05	25	T	—	—	14N	31E
-10102	7	05	11	45	27	T	—	—	10S	158W
-10102	12	30	07	03	30	T	—	—	9N	22E
-10101	6	24	13	05	05	T	—	—	5S	168W
-10101	11	20	08	37	06	Pen	—	—	5S	15W
-10101	12	19	20	54	14	Pen	—	—	4N	12E
-10100	6	12	21	33	15	Pen	—	—	0S	177W
-10100	11	08	11	32	55	P	—	—	10S	25W
-10099	5	04	04	08	24	P	—	—	14N	145E
-10099	10	28	10	58	30	T	—	—	15S	36W
-10098	4	23	20	09	01	T	—	—	17N	135E
-10098	10	17	14	28	27	P	—	—	19S	47W
-10097	4	13	07	11	34	P	—	—	21N	125E
-10097	9	07	13	45	33	Pen	—	—	23S	90W
-10097	10	07	01	07	23	Pen	—	—	22S	58W
-10096	3	02	20	32	38	Pen	—	—	23N	84E
-10096	4	01	11	09	10	Pen	—	—	24N	114E
-10096	8	27	05	17	57	P	—	—	23S	103W
-10095	2	19	22	22	13	P	—	—	23N	72E
-10095	8	16	18	22	10	T	—	—	22S	114W
-10094	2	09	06	33	33	T	—	—	22N	61E
-10094	8	06	00	56	44	P	—	—	21S	126W
-10093	1	29	21	12	05	P	—	—	20N	50E
-10093	7	26	01	03	56	Pen	—	—	18S	138W
-10093	12	21	06	43	03	P	—	—	5N	14E
-10092	6	14	09	32	41	Pen	—	—	1S	176W
-10092	12	09	18	50	23	T	—	—	2N	4E
-10091	6	03	20	11	28	T	—	—	3N	174E
-10091	11	28	23	35	31	P	—	—	2S	6W
-10090	5	24	11	54	40	T	—	—	7N	164E
-10090	11	17	23	25	52	Pen	—	—	6S	17W
-10089	4	14	19	19	03	Pen	—	—	21N	127E
-10089	5	14	04	10	24	Pen	—	—	10N	154E
-10089	10	08	11	26	44	P	—	—	22S	56W
-10088	4	03	04	28	50	P	—	—	23N	116E
-10088	9	26	23	44	00	T	—	—	23S	68W
-10087	3	23	06	53	42	T	—	—	24N	104E
-10087	9	16	15	14	49	T	—	—	24S	80W
-10086	3	12	07	58	56	P	—	—	24N	92E
-10086	9	06	05	18	40	Pen	—	—	23S	92W
-10085	1	31	05	40	07	Pen	—	—	21N	51E
-10085	3	01	14	37	14	Pen	—	—	23N	81E
-10085	7	27	20	00	48	Pen	—	—	19S	136W
-10084	1	20	21	26	03	T	—	—	17N	41E
-10084	7	15	19	19	11	T	—	—	14S	147W
-10083	1	09	14	28	45	T	—	—	13N	31E
-10083	7	04	20	48	28	T	—	—	9S	158W
-10083	12	30	04	07	14	Pen	—	—	8N	22E
-10082	6	24	05	33	21	P	—	—	5S	167W
-10082	11	19	18	44	55	P	—	—	6S	15W
-10081	5	15	11	47	28	P	—	—	10N	156E
-10081	11	08	18	23	11	T	—	—	11S	25W
-10080	5	04	03	28	04	T	—	—	14N	146E
-10080	10	27	22	25	32	P	—	—	15S	36W
-10079	4	23	13	56	03	P	—	—	18N	136E
-10079	9	17	22	32	00	Pen	—	—	22S	78W
-10079	10	17	09	34	50	Pen	—	—	19S	46W
-10078	3	14	02	32	47	Pen	—	—	23N	95E
-10078	4	12	17	21	59	Pen	—	—	22N	125E
-10078	9	07	14	04	42	P	—	—	24S	90W
-10077	3	03	04	39	38	P	—	—	24N	83E
-10077	8	28	02	52	56	T	—	—	24S	102W
-10076	2	20	13	21	56	T	—	—	23N	71E
-10076	8	16	09	00	17	P	—	—	23S	114W
-10075	2	09	04	23	31	P	—	—	22N	60E
-10075	8	05	08	49	20	Pen	—	—	21S	127W
-10075	12	31	14	10	45	P	—	—	9N	23E
-10074	6	25	17	16	04	Pen	—	—	5S	166W
-10074	12	21	02	02	23	T	—	—	6N	13E
-10073	6	15	04	08	41	T	—	—	1S	176W
-10073	12	10	06	29	57	P	—	—	2N	3E
-10072	6	03	19	51	44	T	—	—	2N	174E
-10072	11	28	06	26	21	Pen	—	—	2S	7W
-10071	4	25	02	25	09	Pen	—	—	19N	138E
-10071	5	24	11	49	29	Pen	—	—	6N	164E
-10071	10	18	19	39	12	P	—	—	19S	45W
-10070	4	14	10	58	30	P	—	—	21N	127E
-10070	10	08	08	21	15	T	—	—	21S	56W
-10069	4	03	12	58	36	T	—	—	22N	115E
-10069	9	28	00	00	08	T	—	—	22S	68W
-10068	3	22	14	11	36	P	—	—	23N	104E
-10068	9	16	13	54	11	Pen	—	—	23S	80W
-10067	2	10	12	39	10	Pen	—	—	23N	62E
-10067	3	11	21	20	00	Pen	—	—	23N	92E
-10067	8	07	03	53	25	Pen	—	—	22S	125W
-10066	1	31	04	44	15	T	—	—	20N	52E
-10066	7	27	03	00	25	T	—	—	18S	136W
-10065	1	20	21	47	22	T	—	—	17N	42E
-10065	7	16	04	41	48	T	—	—	14S	147W
-10064	1	10	11	09	36	Pen	—	—	12N	32E
-10064	7	04	13	43	58	P	—	—	9S	157W
-10064	11	30	01	43	23	P	—	—	1S	5W
-10063	5	25	19	36	28	P	—	—	5N	166E
-10063	11	19	01	37	55	T	—	—	6S	15W
